'Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Event'
0.07,0.06,0.97,1.25,0.26,0.19,0,0.91,0.25,0.12,1.35,2.12,0.34,0.43,0,1.15,0.4,0.21,2.81,4.37,0.45,0.41,0,2.26,0.68,0.73,9.94,12.76,2.3,1.86,0,8.69,1.49,0.89,60.13,50.81,18.7,11.58,0,34.76,0
0.07,0.07,1.07,1.37,0.28,0.21,0,0.98,0.26,0.13,1.48,2.14,0.36,0.45,0,1.28,0.4,0.22,3.02,4.58,0.46,0.4,0,2.36,0.7,0.72,10.32,13.23,2.36,1.86,0,8.95,1.67,0.99,67.33,56.9,20.92,12.95,0,38.92,0
0.07,0.07,1.12,1.42,0.27,0.21,0,0.99,0.27,0.14,1.49,2.18,0.35,0.46,0,1.29,0.4,0.22,3.22,4.76,0.46,0.39,0,2.45,0.71,0.72,10.73,13.66,2.44,1.87,0,9.06,1.85,1.1,74.87,63.26,23.27,14.4,0,43.25,0
0.07,0.06,1.07,1.4,0.28,0.21,0,0.96,0.27,0.15,1.47,2.18,0.36,0.46,0,1.28,0.41,0.22,3.32,4.81,0.48,0.38,0,2.47,0.73,0.71,11.25,14.13,2.55,1.91,0,9.25,2.05,1.2,82.72,69.85,25.74,15.93,0,47.77,0
0.08,0.06,1.12,1.41,0.29,0.21,0,0.96,0.27,0.15,1.5,2.17,0.38,0.48,0,1.31,0.41,0.22,3.3,4.81,0.47,0.38,0,2.42,0.75,0.7,11.83,14.66,2.68,1.96,0,9.39,2.25,1.32,90.71,76.55,28.23,17.47,0,52.35,0
0.08,0.07,1.17,1.49,0.3,0.22,0,0.99,0.28,0.16,1.44,2.24,0.37,0.49,0,1.29,0.41,0.22,3.42,4.89,0.45,0.37,0,2.43,0.77,0.68,12.27,15.02,2.78,1.98,0,9.56,2.44,1.44,98.53,83.12,30.67,18.97,0,56.83,0
0.08,0.07,1.11,1.43,0.29,0.21,0,0.95,0.28,0.17,1.42,2.18,0.36,0.49,0,1.3,0.41,0.22,3.48,4.91,0.46,0.36,0,2.43,0.78,0.66,12.52,15.23,2.82,1.97,0,9.68,2.63,1.56,106.03,89.42,33.03,20.43,0,61.14,0
0.08,0.07,1.1,1.37,0.3,0.22,0,0.9,0.28,0.17,1.41,2.18,0.36,0.51,0,1.3,0.4,0.22,3.59,4.95,0.46,0.36,0,2.51,0.78,0.64,12.72,15.63,2.84,1.95,0,9.85,2.81,1.68,113.11,95.34,35.26,21.8,0,65.2,0
0.08,0.07,1.09,1.31,0.29,0.21,0,0.85,0.27,0.17,1.45,2.22,0.34,0.5,0,1.33,0.39,0.21,3.57,4.88,0.44,0.36,0,2.66,0.78,0.65,12.93,15.92,2.87,1.93,0,9.96,2.97,1.79,119.64,100.82,37.3,23.07,0,68.95,0
0.08,0.07,1.05,1.27,0.27,0.2,0,0.82,0.27,0.17,1.43,2.29,0.33,0.5,0,1.33,0.38,0.21,3.61,5.09,0.44,0.35,0,2.78,0.78,0.67,13.17,16.23,2.92,1.92,0,10.08,3.12,1.89,125.53,105.78,39.15,24.21,0,72.33,0
0.08,0.08,0.98,1.23,0.27,0.19,0,0.79,0.26,0.17,1.43,2.37,0.32,0.49,0,1.34,0.38,0.21,3.65,5.28,0.44,0.35,0,2.87,0.78,0.69,13.41,16.57,2.96,1.9,0,10.21,3.25,1.99,130.81,110.24,40.83,25.24,0,75.38,0
0.08,0.07,0.93,1.17,0.26,0.18,0,0.75,0.26,0.17,1.41,2.39,0.31,0.48,0,1.34,0.37,0.21,3.71,5.45,0.43,0.36,0,2.97,0.78,0.7,13.63,16.93,3,1.89,0,10.34,3.37,2.07,135.56,114.24,42.32,26.16,0,78.12,0
0.07,0.08,0.88,1.15,0.24,0.17,0,0.74,0.26,0.17,1.42,2.41,0.3,0.48,0,1.35,0.37,0.22,3.74,5.66,0.43,0.36,0,3.07,0.78,0.72,13.82,17.27,3.02,1.87,0,10.45,3.48,2.14,139.8,117.82,43.65,26.98,0,80.56,0
0.07,0.08,0.84,1.12,0.23,0.17,0,0.72,0.25,0.17,1.42,2.46,0.28,0.47,0,1.36,0.37,0.21,3.75,5.89,0.44,0.36,0,3.18,0.78,0.72,14,17.56,3.03,1.83,0,10.55,3.57,2.21,143.59,121,44.84,27.71,0,82.73,0
0.07,0.08,0.82,1.13,0.22,0.16,0,0.74,0.25,0.17,1.46,2.46,0.27,0.47,0,1.42,0.37,0.21,3.76,5.97,0.44,0.36,0,3.18,0.77,0.73,14.13,17.75,3.02,1.79,0,10.57,3.66,2.27,147.05,123.94,45.92,28.38,0,84.73,0
0.07,0.08,0.77,1.08,0.21,0.16,0,0.7,0.25,0.17,1.49,2.54,0.26,0.47,0,1.44,0.36,0.21,3.82,6.04,0.45,0.36,0,3.21,0.77,0.74,14.24,17.86,3.01,1.76,0,10.58,3.74,2.33,150.24,126.62,46.92,29,0,86.57,0
0.07,0.08,0.74,1.1,0.2,0.16,0,0.71,0.25,0.18,1.49,2.59,0.25,0.46,0,1.43,0.36,0.21,3.91,6.17,0.45,0.35,0,3.28,0.77,0.74,14.32,17.89,2.99,1.72,0,10.54,3.81,2.38,153.2,129.14,47.85,29.58,0,88.31,0
0.07,0.08,0.72,1.12,0.19,0.16,0,0.71,0.25,0.18,1.5,2.65,0.24,0.45,0,1.46,0.35,0.2,3.98,6.28,0.45,0.35,0,3.34,0.78,0.73,14.38,17.89,2.96,1.7,0,10.47,3.88,2.43,155.95,131.44,48.71,30.11,0,89.89,0
0.07,0.08,0.7,1.11,0.18,0.15,0,0.69,0.24,0.19,1.48,2.64,0.23,0.43,0,1.44,0.35,0.21,4.06,6.4,0.46,0.35,0,3.42,0.79,0.73,14.41,17.84,2.93,1.73,0,10.38,3.94,2.48,158.48,133.58,49.5,30.59,0,91.34,0
0.06,0.08,0.67,1.08,0.17,0.15,0,0.65,0.24,0.19,1.46,2.61,0.22,0.43,0,1.4,0.35,0.2,4.15,6.53,0.46,0.33,0,3.5,0.79,0.71,14.47,17.79,2.9,1.76,0,10.32,4,2.52,160.81,135.54,50.23,31.05,0,92.67,0
0.07,0.08,0.81,1.41,0.32,0.2,0,0.76,0.24,0.19,1.58,2.83,0.37,0.48,0,1.45,0.34,0.2,4.08,6.28,0.56,0.36,0,3.36,0.79,0.7,13.79,17.01,2.92,1.69,0,9.93,3.99,2.56,160.37,135.21,50.15,30.98,0,92.42,0
0.07,0.08,1.17,1.64,0.43,0.27,0,0.93,0.24,0.18,1.89,2.87,0.47,0.54,0,1.57,0.33,0.19,4.16,5.96,0.66,0.42,0,3.19,0.76,0.67,13.37,16.4,2.91,1.68,0,9.71,3.91,2.56,156.9,132.2,49.15,30.35,0,90.38,0
0.07,0.08,1.31,1.79,0.45,0.29,0,1.03,0.23,0.19,2,2.82,0.49,0.54,0,1.62,0.32,0.19,4.16,5.89,0.68,0.45,0,3.21,0.74,0.63,12.77,15.65,2.79,1.63,0,9.41,3.78,2.5,151.76,127.8,47.56,29.37,0,87.39,0
0.07,0.08,1.28,1.77,0.42,0.27,0,1.02,0.22,0.2,1.93,2.74,0.46,0.51,0,1.53,0.31,0.18,3.94,5.87,0.64,0.43,0,3.23,0.71,0.58,11.94,14.77,2.62,1.53,0,8.94,3.64,2.42,145.76,122.74,45.66,28.2,0,83.92,0
0.07,0.09,1.2,1.68,0.4,0.26,0,0.95,0.2,0.2,1.81,2.64,0.45,0.48,0,1.45,0.3,0.18,3.72,5.76,0.6,0.44,0,3.19,0.68,0.57,11.14,14.06,2.49,1.47,0,8.58,3.48,2.33,139.63,117.58,43.73,27.01,0,80.39,0
0.07,0.09,1.13,1.57,0.37,0.25,0,0.9,0.19,0.19,1.71,2.53,0.42,0.45,0,1.43,0.3,0.18,3.58,5.7,0.58,0.44,0,3.18,0.66,0.57,10.41,13.32,2.39,1.43,0,8.18,3.34,2.23,133.79,112.66,41.89,25.88,0,77.02,0
0.07,0.09,1.08,1.52,0.37,0.24,0,0.88,0.18,0.19,1.6,2.44,0.41,0.43,0,1.39,0.29,0.18,3.45,5.6,0.57,0.44,0,3.13,0.64,0.57,9.72,12.66,2.28,1.38,0,7.83,3.2,2.14,128.31,108.05,40.18,24.83,0,73.88,0
0.07,0.09,1.12,1.52,0.4,0.25,0,0.89,0.17,0.19,1.61,2.39,0.43,0.44,0,1.41,0.28,0.18,3.26,5.58,0.58,0.46,0,3.15,0.63,0.58,9.19,12.14,2.22,1.36,0,7.58,3.07,2.05,123.18,103.69,38.58,23.85,0,70.92,0
0.07,0.08,1.16,1.52,0.39,0.25,0,0.89,0.17,0.18,1.64,2.32,0.42,0.42,0,1.4,0.27,0.17,3.22,5.39,0.57,0.45,0,3,0.62,0.58,8.76,11.4,2.19,1.33,0,7.14,2.95,1.97,118.27,99.55,37.02,22.9,0,68.1,0
0.07,0.08,1.09,1.44,0.38,0.24,0,0.84,0.16,0.17,1.57,2.17,0.4,0.4,0,1.33,0.26,0.17,3.14,5.24,0.59,0.43,0,2.91,0.63,0.58,8.32,10.92,2.13,1.28,0,6.84,2.83,1.89,113.35,95.41,35.48,21.95,0,65.27,0
0.06,0.08,1.12,1.41,0.39,0.24,0,0.84,0.15,0.16,1.58,2.08,0.41,0.39,0,1.32,0.25,0.17,3.13,5.08,0.62,0.43,0,2.81,0.64,0.57,7.9,10.33,2.04,1.21,0,6.57,2.7,1.81,108.51,91.27,33.99,21.03,0,62.46,0
0.07,0.07,1.18,1.45,0.4,0.25,0,0.88,0.14,0.16,1.63,2.07,0.42,0.39,0,1.3,0.24,0.17,2.94,5.09,0.6,0.44,0,2.82,0.65,0.57,7.47,9.96,1.94,1.21,0,6.39,2.6,1.73,104.28,87.41,32.88,20.24,0,60.04,0
0.06,0.07,1.14,1.45,0.38,0.23,0,0.84,0.14,0.15,1.55,1.96,0.4,0.37,0,1.23,0.23,0.16,2.85,5,0.58,0.44,0,2.73,0.66,0.56,7.01,9.75,1.88,1.22,0,6.37,2.5,1.66,100.32,84.11,31.64,19.47,0,57.78,0
0.06,0.07,1.14,1.43,0.39,0.24,0,0.85,0.13,0.15,1.55,1.96,0.42,0.37,0,1.21,0.22,0.16,2.76,4.99,0.6,0.44,0,2.69,0.68,0.56,6.67,9.63,1.86,1.26,0,6.38,2.39,1.6,95.85,80.38,30.26,18.62,0,55.22,0
0.06,0.07,1.16,1.44,0.4,0.25,0,0.88,0.12,0.15,1.5,1.84,0.42,0.36,0,1.17,0.21,0.15,2.77,4.83,0.62,0.43,0,2.58,0.69,0.56,6.42,9.38,1.82,1.27,0,6.27,2.27,1.52,91.08,76.35,28.78,17.7,0,52.48,0
0.06,0.07,1.1,1.42,0.37,0.23,0,0.85,0.12,0.15,1.42,1.75,0.4,0.35,0,1.13,0.21,0.15,2.67,4.77,0.62,0.42,0,2.54,0.7,0.55,6.15,9.14,1.78,1.27,0,6.15,2.14,1.45,86.09,72.18,27.21,16.73,0,49.62,0
0.06,0.06,1.06,1.34,0.37,0.23,0,0.82,0.12,0.14,1.33,1.65,0.39,0.34,0,1.06,0.2,0.16,2.56,4.7,0.59,0.42,0,2.6,0.71,0.55,5.88,9,1.71,1.27,0,6.07,2.01,1.37,80.95,67.9,25.6,15.74,0,46.69,0
0.06,0.06,1.03,1.29,0.36,0.22,0,0.77,0.11,0.15,1.27,1.61,0.38,0.32,0,1.02,0.19,0.16,2.51,4.59,0.59,0.42,0,2.69,0.72,0.55,5.76,8.92,1.65,1.28,0,6.03,1.88,1.28,75.8,63.58,23.98,14.74,0,43.72,0
0.06,0.06,0.96,1.24,0.33,0.2,0,0.72,0.11,0.15,1.22,1.56,0.36,0.31,0,0.96,0.18,0.17,2.44,4.51,0.59,0.43,0,2.75,0.72,0.56,5.63,8.85,1.6,1.29,0,6.02,1.75,1.2,70.73,59.32,22.38,13.75,0,40.8,0
0.06,0.06,0.9,1.21,0.31,0.19,0,0.67,0.12,0.14,1.16,1.54,0.34,0.3,0,0.92,0.18,0.18,2.37,4.41,0.59,0.43,0,2.81,0.72,0.56,5.48,8.78,1.55,1.3,0,6.02,1.63,1.12,65.81,55.22,20.83,12.79,0,37.98,0
0.06,0.06,0.85,1.18,0.29,0.18,0,0.64,0.12,0.13,1.14,1.53,0.32,0.29,0,0.88,0.17,0.19,2.28,4.33,0.59,0.43,0,2.84,0.71,0.55,5.33,8.7,1.5,1.31,0,6.01,1.51,1.04,61.15,51.33,19.36,11.89,0,35.32,0
0.06,0.05,0.8,1.13,0.28,0.17,0,0.61,0.12,0.13,1.11,1.54,0.3,0.29,0,0.86,0.17,0.2,2.2,4.22,0.58,0.43,0,2.87,0.7,0.54,5.2,8.61,1.45,1.3,0,6.01,1.4,0.96,56.82,47.71,17.99,11.05,0,32.84,0
0.06,0.05,0.74,1.09,0.26,0.16,0,0.58,0.12,0.13,1.09,1.56,0.28,0.28,0,0.84,0.17,0.21,2.13,4.14,0.58,0.42,0,2.9,0.69,0.52,5.05,8.48,1.4,1.3,0,5.98,1.31,0.89,52.86,44.4,16.74,10.27,0,30.57,0
0.05,0.05,0.7,1.04,0.24,0.15,0,0.55,0.12,0.12,1.05,1.6,0.27,0.28,0,0.85,0.18,0.21,2.05,4.12,0.57,0.42,0,2.89,0.68,0.53,4.91,8.35,1.38,1.31,0,5.96,1.22,0.83,49.22,41.34,15.59,9.56,0,28.46,0
0.06,0.05,0.65,1.02,0.23,0.14,0,0.54,0.12,0.12,1.01,1.61,0.25,0.27,0,0.84,0.18,0.22,1.95,4.06,0.56,0.42,0,2.84,0.66,0.55,4.8,8.29,1.36,1.3,0,5.96,1.14,0.77,45.86,38.53,14.52,8.91,0,26.53,0
0.05,0.05,0.61,0.96,0.21,0.14,0,0.51,0.12,0.12,0.96,1.55,0.24,0.27,0,0.8,0.18,0.22,1.86,3.99,0.55,0.42,0,2.76,0.64,0.58,4.67,8.16,1.34,1.31,0,5.91,1.06,0.72,42.75,35.92,13.54,8.3,0,24.74,0
0.05,0.05,0.58,0.91,0.21,0.13,0,0.48,0.12,0.11,0.92,1.51,0.23,0.27,0,0.75,0.18,0.22,1.78,3.93,0.56,0.43,0,2.68,0.62,0.61,4.56,8.07,1.33,1.31,0,5.87,1,0.67,39.88,33.52,12.64,7.74,0,23.09,0
0.05,0.05,0.56,0.9,0.2,0.13,0,0.49,0.12,0.1,0.9,1.52,0.22,0.28,0,0.75,0.17,0.22,1.67,3.86,0.56,0.42,0,2.57,0.6,0.63,4.51,8.05,1.35,1.33,0,5.89,0.93,0.63,37.19,31.28,11.8,7.23,0,21.55,0
0.04,0.05,0.54,0.88,0.2,0.12,0,0.5,0.12,0.1,0.88,1.56,0.22,0.28,0,0.78,0.17,0.22,1.6,3.89,0.57,0.42,0,2.53,0.58,0.65,4.46,8.04,1.36,1.35,0,5.9,0.88,0.59,34.69,29.2,11.01,6.74,0,20.13,0
0.05,0.04,0.5,0.83,0.19,0.12,0,0.48,0.12,0.09,0.84,1.55,0.21,0.28,0,0.76,0.17,0.22,1.55,3.91,0.56,0.43,0,2.51,0.56,0.67,4.39,7.98,1.36,1.34,0,5.87,0.83,0.56,32.33,27.22,10.27,6.29,0,18.78,0
0.04,0.05,0.48,0.81,0.18,0.12,0,0.47,0.12,0.09,0.79,1.51,0.2,0.28,0,0.72,0.17,0.22,1.52,3.98,0.56,0.43,0,2.5,0.53,0.69,4.34,7.97,1.36,1.33,0,5.86,0.77,0.54,30.11,25.36,9.57,5.86,0,17.5,0
0.04,0.05,0.45,0.76,0.17,0.11,0,0.44,0.12,0.09,0.75,1.51,0.19,0.28,0,0.71,0.17,0.23,1.46,4.04,0.56,0.43,0,2.48,0.5,0.7,4.3,7.94,1.37,1.31,0,5.84,0.72,0.53,28.03,23.61,8.92,5.45,0,16.29,0
0.04,0.05,0.44,0.77,0.17,0.11,0,0.45,0.12,0.09,0.71,1.49,0.19,0.28,0,0.67,0.16,0.23,1.41,4.1,0.57,0.42,0,2.45,0.46,0.72,4.25,7.83,1.37,1.29,0,5.77,0.68,0.52,26.1,22.01,8.31,5.08,0,15.19,0
0.04,0.04,0.42,0.75,0.16,0.1,0,0.43,0.12,0.08,0.68,1.51,0.19,0.28,0,0.67,0.16,0.23,1.37,4.2,0.56,0.41,0,2.45,0.43,0.74,4.21,7.75,1.38,1.27,0,5.73,0.64,0.51,24.3,20.49,7.74,4.73,0,14.14,0
0.04,0.04,0.4,0.75,0.16,0.1,0,0.42,0.12,0.08,0.67,1.59,0.19,0.28,0,0.7,0.15,0.24,1.35,4.3,0.54,0.41,0,2.47,0.45,0.75,4.12,7.6,1.38,1.24,0,5.66,0.6,0.5,22.61,19.07,7.2,4.4,0,13.16,0
0.04,0.04,0.39,0.72,0.15,0.1,0,0.41,0.11,0.08,0.65,1.66,0.19,0.28,0,0.7,0.15,0.24,1.37,4.51,0.52,0.42,0,2.56,0.47,0.77,4.04,7.4,1.37,1.23,0,5.53,0.58,0.5,21.06,17.78,6.71,4.1,0,12.26,0
0.04,0.04,0.37,0.68,0.14,0.1,0,0.39,0.11,0.08,0.64,1.71,0.19,0.27,0,0.71,0.16,0.24,1.37,4.7,0.51,0.43,0,2.63,0.49,0.78,3.97,7.24,1.36,1.22,0,5.39,0.59,0.5,19.62,16.56,6.25,3.82,0,11.42,0
0.04,0.04,0.36,0.73,0.14,0.09,0,0.4,0.11,0.08,0.64,1.86,0.19,0.28,0,0.78,0.16,0.24,1.34,4.76,0.48,0.42,0,2.63,0.5,0.79,3.87,7.06,1.35,1.17,0,5.25,0.59,0.51,18.28,15.43,5.82,3.56,0,10.64,0
0.04,0.04,0.35,0.73,0.13,0.09,0,0.39,0.11,0.08,0.63,1.96,0.19,0.28,0,0.81,0.17,0.24,1.33,4.79,0.46,0.4,0,2.62,0.5,0.79,3.77,6.89,1.33,1.13,0,5.1,0.58,0.5,17.04,14.4,5.43,3.32,0,9.93,0
0.04,0.04,0.35,0.77,0.13,0.09,0,0.41,0.1,0.08,0.63,2.11,0.19,0.29,0,0.87,0.17,0.24,1.32,4.8,0.45,0.39,0,2.62,0.5,0.8,3.66,6.74,1.32,1.08,0,4.97,0.57,0.49,15.91,13.46,5.07,3.11,0,9.28,0
0.04,0.04,0.32,0.76,0.12,0.09,0,0.41,0.1,0.08,0.62,2.23,0.2,0.29,0,0.93,0.17,0.24,1.27,4.72,0.43,0.38,0,2.56,0.5,0.79,3.58,6.72,1.31,1.04,0,5.05,0.56,0.48,14.85,12.56,4.74,2.9,0,8.67,0
0.04,0.04,0.31,0.72,0.12,0.09,0,0.4,0.1,0.09,0.6,2.28,0.2,0.29,0,0.94,0.17,0.24,1.23,4.58,0.41,0.37,0,2.47,0.49,0.79,3.52,6.94,1.31,0.99,0,5.24,0.54,0.47,13.86,11.71,4.42,2.71,0,8.08,0
0.04,0.04,0.3,0.7,0.12,0.09,0,0.4,0.1,0.09,0.56,2.27,0.19,0.27,0,0.9,0.17,0.24,1.16,4.4,0.39,0.37,0,2.34,0.48,0.78,3.49,7.04,1.33,0.96,0,5.37,0.53,0.47,12.95,10.96,4.13,2.53,0,7.57,0
0.04,0.04,0.29,0.66,0.12,0.09,0,0.37,0.11,0.09,0.53,2.26,0.19,0.27,0,0.9,0.17,0.24,1.09,4.18,0.38,0.37,0,2.18,0.47,0.76,3.43,7.07,1.34,0.92,0,5.44,0.52,0.49,12.11,10.27,3.87,2.37,0,7.1,0
0.04,0.04,0.29,0.66,0.11,0.09,0,0.38,0.11,0.1,0.52,2.25,0.18,0.26,0,0.89,0.17,0.23,1.05,4.03,0.37,0.37,0,2.08,0.45,0.75,3.35,7.09,1.36,0.88,0,5.51,0.51,0.51,11.33,9.63,3.63,2.22,0,6.67,0
0.03,0.04,0.27,0.63,0.11,0.09,0,0.35,0.11,0.1,0.52,2.29,0.17,0.25,0,0.9,0.16,0.23,1.09,3.9,0.37,0.37,0,1.96,0.46,0.74,3.26,7.09,1.36,0.85,0,5.62,0.5,0.53,10.62,9.05,3.4,2.09,0,6.28,0
0.04,0.04,0.26,0.62,0.11,0.08,0,0.35,0.11,0.11,0.51,2.3,0.17,0.25,0,0.89,0.17,0.23,1.12,3.76,0.36,0.37,0,1.84,0.46,0.72,3.16,7.17,1.35,0.83,0,5.78,0.48,0.54,9.93,8.46,3.18,1.96,0,5.87,0
0.04,0.04,0.25,0.6,0.1,0.08,0,0.33,0.11,0.11,0.51,2.31,0.17,0.25,0,0.9,0.17,0.22,1.16,3.7,0.36,0.37,0,1.74,0.47,0.7,3.07,7.3,1.34,0.85,0,5.99,0.46,0.55,9.3,7.93,2.98,1.84,0,5.51,0
0.04,0.04,0.25,0.57,0.1,0.08,0,0.31,0.11,0.11,0.5,2.3,0.17,0.25,0,0.9,0.16,0.21,1.2,3.82,0.36,0.38,0,1.73,0.47,0.68,3.02,7.48,1.34,0.88,0,6.2,0.45,0.56,8.73,7.47,2.79,1.73,0,5.19,0
0.04,0.03,0.25,0.57,0.1,0.08,0,0.32,0.11,0.11,0.47,2.23,0.17,0.24,0,0.86,0.16,0.21,1.26,4.02,0.36,0.39,0,1.83,0.48,0.65,3.05,7.53,1.34,0.89,0,6.32,0.43,0.57,8.18,6.99,2.61,1.62,0,4.86,0
0.04,0.04,0.25,0.58,0.1,0.09,0,0.34,0.11,0.12,0.49,2.24,0.17,0.24,0,0.88,0.16,0.2,1.31,4.18,0.34,0.42,0,1.92,0.49,0.62,3.05,7.53,1.36,0.89,0,6.39,0.41,0.57,7.69,6.6,2.46,1.53,0,4.59,0
0.04,0.04,0.23,0.57,0.1,0.08,0,0.33,0.11,0.12,0.48,2.25,0.17,0.24,0,0.89,0.15,0.2,1.32,4.28,0.34,0.43,0,1.95,0.49,0.59,3.04,7.48,1.37,0.89,0,6.42,0.39,0.56,7.22,6.22,2.32,1.44,0,4.43,0
0.04,0.05,0.22,0.57,0.09,0.08,0,0.34,0.11,0.12,0.48,2.28,0.18,0.24,0,0.92,0.15,0.2,1.34,4.37,0.33,0.44,0,1.99,0.5,0.55,3.04,7.43,1.37,0.93,0,6.45,0.38,0.55,6.8,5.88,2.18,1.37,0,4.46,0
0.04,0.05,0.21,0.56,0.09,0.08,0,0.34,0.11,0.12,0.48,2.29,0.19,0.24,0,0.94,0.15,0.2,1.34,4.43,0.32,0.46,0,2,0.51,0.51,3.04,7.34,1.37,0.96,0,6.43,0.38,0.53,6.39,5.53,2.05,1.3,0,4.45,0
0.04,0.04,0.2,0.55,0.08,0.08,0,0.33,0.11,0.11,0.47,2.32,0.19,0.24,0,0.98,0.15,0.2,1.34,4.49,0.31,0.47,0,2.04,0.52,0.49,3.05,7.23,1.37,0.97,0,6.4,0.38,0.51,6,5.19,1.92,1.31,0,4.47,0
0.04,0.04,0.19,0.53,0.08,0.07,0,0.32,0.11,0.11,0.47,2.36,0.19,0.24,0,1.03,0.15,0.2,1.36,4.58,0.3,0.48,0,2.11,0.53,0.51,3.06,7.08,1.37,0.99,0,6.33,0.39,0.5,5.64,4.89,1.8,1.31,0,4.54,0
0.04,0.04,0.18,0.52,0.07,0.07,0,0.31,0.11,0.12,0.46,2.34,0.19,0.24,0,1.03,0.15,0.2,1.36,4.6,0.31,0.49,0,2.14,0.54,0.51,3.04,6.88,1.36,1,0,6.2,0.4,0.48,5.31,4.81,1.69,1.31,0,4.59,0
0.04,0.04,0.18,0.51,0.07,0.07,0,0.29,0.11,0.12,0.45,2.3,0.18,0.23,0,1.03,0.15,0.2,1.37,4.61,0.31,0.49,0,2.16,0.55,0.52,3.04,6.68,1.35,1,0,6.07,0.4,0.47,5.03,4.75,1.6,1.31,0,4.58,0
0.04,0.04,0.18,0.5,0.08,0.07,0,0.29,0.11,0.12,0.45,2.3,0.18,0.22,0,1.05,0.14,0.2,1.34,4.58,0.3,0.49,0,2.15,0.55,0.53,3.01,6.51,1.33,1.01,0,5.98,0.4,0.46,4.77,4.75,1.52,1.31,0,4.58,0
0.05,0.04,0.18,0.5,0.08,0.07,0,0.29,0.1,0.12,0.44,2.3,0.17,0.21,0,1.06,0.14,0.21,1.34,4.55,0.3,0.49,0,2.14,0.55,0.53,2.99,6.38,1.32,1.01,0,5.92,0.4,0.44,4.53,4.75,1.44,1.31,0,4.58,0
0.05,0.04,0.17,0.48,0.07,0.07,0,0.29,0.1,0.12,0.43,2.27,0.17,0.2,0,1.06,0.14,0.2,1.34,4.53,0.31,0.49,0,2.16,0.55,0.53,2.97,6.27,1.3,1.02,0,5.88,0.4,0.43,4.3,4.72,1.37,1.31,0,4.53,0
0.05,0.04,0.17,0.46,0.08,0.07,0,0.28,0.1,0.12,0.42,2.23,0.17,0.19,0,1.05,0.14,0.19,1.34,4.48,0.31,0.48,0,2.15,0.55,0.53,2.96,6.16,1.29,1.03,0,5.86,0.4,0.44,4.1,4.84,1.35,1.31,0,4.45,0
0.05,0.04,0.17,0.46,0.08,0.06,0,0.28,0.1,0.13,0.43,2.18,0.17,0.19,0,1.05,0.14,0.19,1.33,4.38,0.31,0.47,0,2.11,0.54,0.52,3,6.28,1.29,1.04,0,5.81,0.4,0.45,3.9,4.99,1.37,1.32,0,4.33,0
0.05,0.04,0.19,0.5,0.08,0.06,0,0.31,0.1,0.13,0.41,2.05,0.18,0.19,0,1,0.14,0.18,1.29,4.25,0.29,0.46,0,2.07,0.53,0.53,3.07,6.51,1.3,1.06,0,5.74,0.41,0.46,3.72,5.09,1.39,1.33,0,4.24,0
0.06,0.04,0.18,0.49,0.08,0.06,0,0.29,0.1,0.13,0.41,2.01,0.18,0.19,0,1.01,0.15,0.18,1.27,4.21,0.29,0.45,0,2.1,0.52,0.53,3.17,6.78,1.32,1.06,0,5.68,0.42,0.47,3.57,5.17,1.41,1.34,0,4.13,0
0.06,0.04,0.2,0.52,0.1,0.07,0,0.32,0.11,0.13,0.39,1.89,0.18,0.18,0,0.95,0.15,0.17,1.28,4.15,0.29,0.43,0,2.12,0.5,0.53,3.2,6.93,1.33,1.07,0,5.52,0.42,0.47,3.43,5.1,1.43,1.35,0,3.95,0
0.06,0.04,0.68,0.97,0.15,0.13,0,0.61,0.11,0.13,0.86,2.31,0.2,0.22,0,1.22,0.16,0.16,1.56,4.26,0.3,0.44,0,2.08,0.51,0.53,3.55,7.26,1.62,1.11,0,5.45,0.47,0.48,6.32,6.26,2.14,1.75,0,5.14,0
0.06,0.04,0.72,1.01,0.17,0.12,0,0.63,0.11,0.13,0.86,2.15,0.23,0.21,0,1.15,0.18,0.17,1.64,4.46,0.35,0.5,0,2.22,0.53,0.56,4.04,8.08,2,1.21,0,5.89,0.5,0.5,11.91,10.13,3.76,2.31,0,6.9,0
0.07,0.04,0.82,1.04,0.23,0.16,0,0.69,0.1,0.12,0.96,2.12,0.26,0.23,0,1.16,0.2,0.17,1.74,4.64,0.49,0.6,0,2.35,0.55,0.57,4.5,8.66,2.36,1.31,0,6.19,0.53,0.51,19,16.08,5.98,3.7,0,10.99,0
0.06,0.04,0.85,1.04,0.25,0.17,0,0.69,0.1,0.12,0.94,2.08,0.27,0.22,0,1.14,0.23,0.18,1.81,4.81,0.56,0.65,0,2.45,0.57,0.58,4.77,9.13,2.63,1.41,0,6.43,0.7,0.53,26.44,22.33,8.32,5.15,0,15.27,0
0.06,0.04,0.83,0.98,0.25,0.17,0,0.66,0.1,0.12,0.94,2.13,0.3,0.24,0,1.2,0.25,0.19,1.73,4.84,0.62,0.68,0,2.43,0.59,0.58,5.3,9.67,2.91,1.52,0,6.75,0.87,0.54,33.69,28.41,10.62,6.58,0,19.46,0
