'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:45:13.157 11/09/2023]',0.11,0.13,0.55,0.00,0.14,0.13,0.53,0.54,0.16,0.17,0.87,0.00,0.22,0.24,1.00,0.99,0.38,0.36,2.38,0.00,0.36,0.48,3.37,3.72,0.46,0.70,5.34,0.00,1.21,1.66,8.24,9.50,1.20,0.58,41.36,0.00,8.63,10.32,28.50,29.93,0
'[11:45:13.181 11/09/2023]',0.10,0.13,0.54,0.00,0.14,0.14,0.52,0.53,0.16,0.17,0.84,0.00,0.22,0.24,1.00,0.99,0.37,0.34,2.31,0.00,0.39,0.49,3.29,3.65,0.47,0.67,5.15,0.00,1.23,1.68,8.03,9.30,1.17,0.57,40.04,0.00,8.39,10.03,27.34,28.88,0
'[11:45:13.209 11/09/2023]',0.10,0.13,0.54,0.00,0.14,0.14,0.50,0.53,0.16,0.17,0.81,0.00,0.23,0.24,1.00,0.99,0.39,0.33,2.26,0.00,0.40,0.47,3.23,3.59,0.46,0.65,4.97,0.00,1.23,1.66,7.74,8.99,1.13,0.56,38.67,0.00,8.11,9.69,26.41,27.89,0
'[11:45:13.241 11/09/2023]',0.10,0.13,0.54,0.00,0.14,0.14,0.50,0.53,0.16,0.17,0.81,0.00,0.24,0.23,1.00,0.96,0.41,0.35,2.25,0.00,0.41,0.47,3.19,3.52,0.45,0.61,4.78,0.00,1.22,1.64,7.48,8.69,1.09,0.54,37.14,0.00,7.80,9.30,25.37,26.80,0
'[11:45:13.266 11/09/2023]',0.10,0.13,0.51,0.00,0.14,0.14,0.49,0.50,0.16,0.17,0.78,0.00,0.25,0.23,1.00,0.92,0.43,0.36,2.22,0.00,0.43,0.47,3.13,3.44,0.44,0.59,4.77,0.00,1.21,1.64,7.21,8.41,1.03,0.52,35.44,0.00,7.44,8.88,24.23,25.58,0
'[11:45:13.303 11/09/2023]',0.10,0.13,0.53,0.00,0.14,0.14,0.49,0.51,0.15,0.18,0.81,0.00,0.25,0.23,1.04,0.94,0.44,0.38,2.17,0.00,0.45,0.48,3.11,3.40,0.43,0.56,4.78,0.00,1.21,1.65,6.90,8.07,0.98,0.50,33.62,0.00,7.07,8.42,22.99,24.28,0
'[11:45:13.340 11/09/2023]',0.10,0.13,0.49,0.00,0.13,0.14,0.51,0.52,0.15,0.19,0.78,0.00,0.26,0.22,0.98,0.89,0.45,0.38,2.15,0.00,0.46,0.48,3.15,3.41,0.44,0.54,4.80,0.00,1.20,1.65,6.54,7.69,0.93,0.47,31.76,0.00,6.68,7.95,21.73,22.94,0
'[11:45:13.368 11/09/2023]',0.10,0.12,0.49,0.00,0.20,0.16,0.56,0.53,0.18,0.20,0.76,0.00,0.36,0.25,1.00,0.91,0.46,0.39,2.38,0.00,0.53,0.52,3.21,3.54,0.47,0.51,5.70,0.00,1.35,1.96,6.45,7.52,0.96,0.45,32.42,0.00,6.90,8.14,22.17,23.42,0
'[11:45:13.400 11/09/2023]',0.09,0.13,0.58,0.00,0.25,0.20,0.58,0.60,0.21,0.23,0.81,0.00,0.39,0.27,1.03,0.98,0.46,0.40,2.64,0.00,0.53,0.57,3.31,3.71,0.53,0.52,6.73,0.00,1.64,2.13,6.82,7.68,1.06,0.46,35.82,0.00,7.60,8.99,24.51,25.87,0
'[11:45:13.441 11/09/2023]',0.09,0.13,0.77,0.00,0.27,0.24,0.69,0.76,0.22,0.25,0.89,0.00,0.38,0.28,1.13,1.04,0.45,0.39,3.20,0.00,0.59,0.73,3.62,4.09,0.59,0.55,7.99,0.00,1.81,2.33,7.45,7.83,1.19,0.51,40.93,0.00,8.61,10.21,28.04,29.58,0
'[11:45:13.463 11/09/2023]',0.09,0.12,0.75,0.00,0.25,0.22,0.66,0.74,0.23,0.27,0.95,0.00,0.39,0.30,1.20,1.06,0.45,0.38,3.46,0.00,0.67,0.83,3.78,4.29,0.65,0.60,8.94,0.00,2.01,2.62,8.08,8.36,1.35,0.58,46.40,0.00,9.78,11.59,31.75,33.51,0
'[11:45:13.498 11/09/2023]',0.09,0.12,0.71,0.00,0.25,0.22,0.63,0.70,0.24,0.29,1.05,0.00,0.40,0.32,1.28,1.14,0.49,0.38,3.68,0.00,0.75,0.92,3.89,4.43,0.70,0.65,9.91,0.00,2.20,2.93,8.73,9.03,1.50,0.64,51.72,0.00,10.90,12.92,35.35,37.32,0
'[11:45:13.533 11/09/2023]',0.09,0.12,0.73,0.00,0.24,0.21,0.67,0.70,0.25,0.30,1.09,0.00,0.41,0.33,1.32,1.22,0.52,0.39,3.99,0.00,0.85,1.02,4.07,4.63,0.74,0.70,10.90,0.00,2.46,3.23,9.40,9.80,1.65,0.72,56.60,0.00,11.94,14.15,38.67,40.85,0
'[11:45:13.565 11/09/2023]',0.09,0.12,0.72,0.00,0.23,0.21,0.66,0.67,0.26,0.31,1.13,0.00,0.42,0.34,1.38,1.28,0.56,0.41,4.17,0.00,0.93,1.10,4.15,4.73,0.78,0.75,11.84,0.00,2.75,3.51,10.05,10.53,1.79,0.79,61.16,0.00,12.91,15.30,41.75,44.13,0
'[11:45:13.587 11/09/2023]',0.08,0.11,0.72,0.00,0.23,0.20,0.62,0.66,0.27,0.33,1.18,0.00,0.43,0.35,1.45,1.37,0.59,0.43,4.35,0.00,0.99,1.17,4.24,4.83,0.82,0.80,12.65,0.00,2.99,3.75,10.59,11.15,1.92,0.86,65.65,0.00,13.86,16.43,44.79,47.35,0
'[11:45:13.616 11/09/2023]',0.08,0.11,0.78,0.00,0.23,0.21,0.63,0.70,0.28,0.34,1.22,0.00,0.42,0.36,1.50,1.38,0.62,0.45,4.60,0.00,1.07,1.26,4.35,4.95,0.86,0.85,13.57,0.00,3.23,4.01,11.22,11.82,2.06,0.92,70.32,0.00,14.86,17.60,47.96,50.71,0
'[11:45:13.645 11/09/2023]',0.08,0.11,0.82,0.00,0.22,0.20,0.66,0.73,0.28,0.36,1.32,0.00,0.43,0.37,1.63,1.48,0.66,0.47,4.89,0.00,1.15,1.34,4.54,5.13,0.91,0.89,14.26,0.00,3.46,4.22,11.68,12.30,2.22,0.99,75.38,0.00,15.94,18.87,51.38,54.35,0
'[11:45:13.669 11/09/2023]',0.08,0.11,0.77,0.00,0.23,0.19,0.63,0.69,0.29,0.37,1.40,0.00,0.42,0.38,1.71,1.56,0.70,0.49,5.10,0.00,1.24,1.41,4.63,5.23,0.95,0.93,14.92,0.00,3.63,4.44,12.08,12.76,2.38,1.06,80.99,0.00,17.14,20.28,55.18,58.38,0
'[11:45:13.698 11/09/2023]',0.09,0.10,0.82,0.00,0.23,0.21,0.65,0.76,0.28,0.38,1.55,0.00,0.43,0.42,1.82,1.64,0.73,0.52,5.19,0.00,1.29,1.44,4.69,5.30,0.99,0.96,15.59,0.00,3.81,4.65,12.47,13.22,2.57,1.14,86.98,0.00,18.39,21.78,59.24,62.67,0
'[11:45:13.731 11/09/2023]',0.09,0.10,0.85,0.00,0.22,0.21,0.65,0.77,0.28,0.38,1.70,0.00,0.45,0.45,1.92,1.76,0.76,0.55,5.41,0.00,1.34,1.50,4.85,5.47,1.02,0.99,16.01,0.00,3.98,4.80,12.67,13.48,2.75,1.23,93.15,0.00,19.69,23.32,63.42,67.10,0
'[11:45:13.758 11/09/2023]',0.08,0.10,0.82,0.00,0.23,0.20,0.63,0.75,0.28,0.39,1.78,0.00,0.47,0.47,1.98,1.82,0.79,0.58,5.59,0.00,1.39,1.55,4.98,5.62,1.05,1.03,16.52,0.00,4.12,4.97,12.93,13.79,2.93,1.32,99.34,0.00,21.00,24.87,67.63,71.56,0
'[11:45:13.786 11/09/2023]',0.08,0.10,0.86,0.00,0.23,0.21,0.62,0.77,0.27,0.39,1.90,0.00,0.49,0.50,2.05,1.93,0.81,0.60,5.82,0.00,1.44,1.61,5.14,5.81,1.08,1.06,16.87,0.00,4.27,5.09,13.05,13.96,3.11,1.41,105.43,0.00,22.27,26.40,71.76,75.94,0
'[11:45:13.839 11/09/2023]',0.08,0.10,0.88,0.00,0.23,0.21,0.61,0.78,0.27,0.39,1.93,0.00,0.50,0.51,2.06,2.00,0.83,0.62,5.90,0.00,1.47,1.63,5.19,5.91,1.12,1.08,17.19,0.00,4.40,5.20,13.16,14.12,3.28,1.49,111.16,0.00,23.47,27.83,75.65,80.06,0
'[11:45:13.955 11/09/2023]',0.08,0.09,0.86,0.00,0.22,0.20,0.62,0.80,0.28,0.39,1.93,0.00,0.51,0.50,2.03,2.01,0.85,0.65,6.01,0.00,1.49,1.67,5.26,6.02,1.16,1.11,17.57,0.00,4.50,5.32,13.31,14.32,3.44,1.57,116.43,0.00,24.57,29.16,79.23,83.84,0
'[11:45:14.064 11/09/2023]',0.08,0.10,0.86,0.00,0.22,0.20,0.59,0.78,0.28,0.39,1.94,0.00,0.51,0.50,2.04,2.05,0.85,0.66,6.11,0.00,1.52,1.71,5.29,6.12,1.20,1.12,17.85,0.00,4.61,5.41,13.44,14.45,3.58,1.65,121.22,0.00,25.58,30.36,82.49,87.30,0
'[11:45:14.182 11/09/2023]',0.07,0.09,0.87,0.00,0.22,0.20,0.60,0.80,0.29,0.40,1.92,0.00,0.51,0.48,1.99,2.04,0.86,0.67,6.22,0.00,1.56,1.75,5.37,6.26,1.23,1.13,18.16,0.00,4.70,5.52,13.60,14.62,3.70,1.71,125.52,0.00,26.48,31.45,85.40,90.39,0
'[11:45:14.297 11/09/2023]',0.08,0.09,0.83,0.00,0.21,0.19,0.58,0.81,0.30,0.40,1.95,0.00,0.52,0.48,2.01,2.05,0.86,0.68,6.28,0.00,1.59,1.79,5.38,6.32,1.25,1.14,18.45,0.00,4.78,5.62,13.78,14.80,3.81,1.77,129.34,0.00,27.29,32.41,88.02,93.17,0
'[11:45:14.409 11/09/2023]',0.08,0.09,0.81,0.00,0.21,0.19,0.59,0.83,0.31,0.42,2.00,0.00,0.55,0.50,2.06,2.09,0.85,0.68,6.35,0.00,1.62,1.83,5.45,6.43,1.26,1.15,18.69,0.00,4.84,5.71,13.93,14.95,3.91,1.82,132.75,0.00,28.01,33.27,90.36,95.64,0
'[11:45:14.501 11/09/2023]',0.08,0.09,0.78,0.00,0.20,0.18,0.58,0.80,0.31,0.43,2.02,0.00,0.55,0.50,2.05,2.05,0.84,0.67,6.35,0.00,1.64,1.86,5.44,6.45,1.27,1.15,18.84,0.00,4.89,5.77,14.02,15.04,4.00,1.87,135.79,0.00,28.65,34.04,92.42,97.84,0
'[11:45:14.610 11/09/2023]',0.08,0.09,0.74,0.00,0.20,0.17,0.56,0.79,0.31,0.43,2.03,0.00,0.56,0.50,2.01,2.00,0.83,0.66,6.36,0.00,1.66,1.88,5.39,6.43,1.29,1.15,18.96,0.00,4.98,5.82,14.10,15.09,4.08,1.91,138.52,0.00,29.23,34.73,94.28,99.82,0
'[11:45:14.712 11/09/2023]',0.08,0.09,0.73,0.00,0.20,0.18,0.57,0.79,0.30,0.43,2.05,0.00,0.57,0.50,2.02,2.02,0.81,0.65,6.35,0.00,1.67,1.88,5.29,6.37,1.30,1.16,19.06,0.00,5.09,5.86,14.16,15.15,4.15,1.94,141.04,0.00,29.76,35.36,96.00,101.64,0
'[11:45:14.807 11/09/2023]',0.08,0.09,0.70,0.00,0.19,0.17,0.54,0.77,0.30,0.43,2.06,0.00,0.59,0.52,2.02,2.00,0.80,0.64,6.36,0.00,1.68,1.88,5.23,6.36,1.32,1.16,19.17,0.00,5.20,5.88,14.18,15.20,4.22,1.98,143.35,0.00,30.25,35.95,97.58,103.32,0
'[11:45:14.872 11/09/2023]',0.08,0.08,0.68,0.00,0.19,0.17,0.54,0.74,0.30,0.44,2.07,0.00,0.60,0.52,2.02,2.03,0.79,0.63,6.42,0.00,1.71,1.91,5.23,6.39,1.32,1.17,19.20,0.00,5.30,5.88,14.13,15.40,4.28,2.01,145.49,0.00,30.71,36.49,99.02,104.86,0
'[11:45:14.896 11/09/2023]',0.08,0.08,0.65,0.00,0.18,0.16,0.51,0.72,0.31,0.43,2.09,0.00,0.61,0.53,2.03,2.05,0.77,0.62,6.46,0.00,1.71,1.91,5.20,6.36,1.34,1.18,19.22,0.00,5.38,5.86,14.05,15.78,4.34,2.04,147.49,0.00,31.14,37.00,100.40,106.33,0
'[11:45:14.927 11/09/2023]',0.08,0.09,0.62,0.00,0.17,0.16,0.49,0.70,0.31,0.43,2.12,0.00,0.62,0.54,2.06,2.08,0.76,0.62,6.50,0.00,1.72,1.91,5.20,6.36,1.35,1.19,19.23,0.00,5.45,5.83,13.93,16.08,4.39,2.07,149.33,0.00,31.53,37.47,101.67,107.67,0
'[11:45:14.950 11/09/2023]',0.10,0.09,1.60,0.00,0.39,0.44,1.14,1.34,0.30,0.42,2.95,0.00,0.79,0.79,2.52,2.60,0.71,0.62,6.98,0.00,1.82,2.08,5.43,6.49,1.30,1.19,18.34,0.00,5.07,5.52,13.30,15.12,4.37,2.10,149.06,0.00,31.47,37.43,101.48,107.47,0
'[11:45:14.974 11/09/2023]',0.10,0.08,1.74,0.00,0.37,0.45,1.28,1.45,0.28,0.39,2.95,0.00,0.75,0.76,2.49,2.54,0.67,0.59,6.84,0.00,1.72,2.00,5.32,6.32,1.26,1.14,17.40,0.00,4.83,5.24,12.69,14.78,4.27,2.08,145.88,0.00,30.75,36.61,99.32,105.19,0
'[11:45:14.998 11/09/2023]',0.09,0.09,1.65,0.00,0.38,0.43,1.22,1.39,0.27,0.37,2.76,0.00,0.73,0.73,2.35,2.45,0.62,0.57,6.45,0.00,1.63,1.90,5.04,5.96,1.22,1.10,16.29,0.00,4.58,4.88,12.42,14.36,4.11,2.03,140.73,0.00,29.63,35.30,95.84,101.51,0
'[11:45:15.027 11/09/2023]',0.09,0.08,1.67,0.00,0.38,0.44,1.23,1.36,0.26,0.35,2.67,0.00,0.70,0.71,2.24,2.31,0.59,0.54,6.12,0.00,1.54,1.77,4.73,5.64,1.18,1.05,15.29,0.00,4.31,4.61,12.08,13.85,3.93,1.95,134.78,0.00,28.39,33.81,91.80,97.24,0
'[11:45:15.057 11/09/2023]',0.09,0.08,1.58,0.00,0.37,0.42,1.15,1.28,0.26,0.33,2.54,0.00,0.67,0.67,2.16,2.23,0.55,0.53,5.75,0.00,1.44,1.67,4.45,5.27,1.15,1.00,14.47,0.00,4.10,4.37,11.84,13.42,3.75,1.87,128.83,0.00,27.14,32.31,87.76,92.97,0
'[11:45:15.083 11/09/2023]',0.08,0.08,1.47,0.00,0.35,0.39,1.07,1.19,0.25,0.33,2.40,0.00,0.63,0.63,2.07,2.12,0.52,0.51,5.40,0.00,1.34,1.57,4.16,4.95,1.10,0.95,13.71,0.00,3.91,4.15,11.62,13.02,3.59,1.78,123.26,0.00,25.97,30.92,83.99,88.98,0
'[11:45:15.106 11/09/2023]',0.08,0.07,1.44,0.00,0.34,0.39,1.05,1.16,0.24,0.32,2.30,0.00,0.59,0.61,1.95,2.04,0.48,0.48,5.04,0.00,1.27,1.47,3.88,4.69,1.06,0.90,12.96,0.00,3.74,3.92,11.44,12.69,3.43,1.71,118.12,0.00,24.88,29.63,80.51,85.30,0
'[11:45:15.134 11/09/2023]',0.08,0.07,1.44,0.00,0.32,0.38,1.07,1.18,0.24,0.30,2.19,0.00,0.56,0.58,1.88,1.94,0.45,0.47,4.80,0.00,1.19,1.39,3.65,4.37,1.02,0.85,12.30,0.00,3.56,3.72,11.25,12.33,3.29,1.63,113.32,0.00,23.85,28.42,77.28,81.87,0
'[11:45:15.164 11/09/2023]',0.08,0.07,1.37,0.00,0.32,0.36,1.00,1.10,0.23,0.29,2.09,0.00,0.54,0.55,1.79,1.86,0.42,0.46,4.50,0.00,1.14,1.31,3.42,4.17,0.98,0.81,11.70,0.00,3.39,3.53,11.06,11.98,3.14,1.56,108.69,0.00,22.88,27.26,74.15,78.55,0
'[11:45:15.194 11/09/2023]',0.08,0.07,1.39,0.00,0.33,0.37,1.01,1.10,0.23,0.28,1.99,0.00,0.53,0.54,1.70,1.75,0.39,0.44,4.36,0.00,1.07,1.26,3.27,4.03,0.95,0.76,11.21,0.00,3.27,3.43,10.98,11.73,3.01,1.49,104.23,0.00,21.95,26.15,71.13,75.35,0
'[11:45:15.222 11/09/2023]',0.07,0.07,1.41,0.00,0.32,0.37,1.06,1.11,0.22,0.27,1.99,0.00,0.51,0.52,1.70,1.71,0.38,0.42,4.13,0.00,1.02,1.17,3.15,3.91,0.91,0.73,10.76,0.00,3.14,3.31,10.81,11.41,2.87,1.42,99.85,0.00,21.01,25.05,68.17,72.23,0
'[11:45:15.251 11/09/2023]',0.08,0.07,1.31,0.00,0.31,0.35,1.01,1.05,0.22,0.26,1.93,0.00,0.49,0.49,1.64,1.69,0.38,0.40,3.86,0.00,0.98,1.10,2.92,3.69,0.89,0.69,10.27,0.00,2.99,3.19,10.60,11.07,2.76,1.36,96.30,0.00,20.05,23.99,66.02,69.41,0
'[11:45:15.276 11/09/2023]',0.07,0.07,1.33,0.00,0.31,0.35,1.04,1.07,0.22,0.25,1.90,0.00,0.48,0.47,1.59,1.63,0.38,0.41,3.66,0.00,0.93,1.05,2.75,3.49,0.85,0.66,9.89,0.00,2.88,3.10,10.47,10.86,2.66,1.29,92.66,0.00,19.11,23.09,63.52,66.78,0
'[11:45:15.303 11/09/2023]',0.08,0.07,1.28,0.00,0.42,0.38,0.99,1.00,0.21,0.25,1.99,0.00,0.60,0.52,1.52,1.63,0.36,0.40,3.80,0.00,1.05,1.14,2.73,3.37,0.83,0.62,10.60,0.00,3.02,3.31,10.70,11.15,2.56,1.23,88.85,0.00,18.76,22.29,60.71,64.30,0
'[11:45:15.329 11/09/2023]',0.09,0.08,1.41,0.00,0.47,0.43,1.04,1.06,0.20,0.23,2.03,0.00,0.59,0.55,1.52,1.64,0.36,0.40,3.92,0.00,1.11,1.19,2.65,3.27,0.85,0.60,11.51,0.00,3.31,3.57,10.73,11.28,2.63,1.20,91.19,0.00,19.28,22.88,62.28,65.96,0
'[11:45:15.353 11/09/2023]',0.10,0.09,1.55,0.00,0.47,0.45,1.15,1.16,0.20,0.23,2.01,0.00,0.60,0.53,1.57,1.65,0.37,0.40,4.47,0.00,1.23,1.34,2.95,3.53,0.85,0.58,13.11,0.00,3.63,3.94,11.06,12.06,2.77,1.23,95.71,0.00,20.21,24.01,65.36,69.20,0
'[11:45:15.379 11/09/2023]',0.09,0.09,1.46,0.00,0.45,0.43,1.09,1.14,0.21,0.23,2.09,0.00,0.62,0.54,1.51,1.66,0.37,0.40,4.70,0.00,1.31,1.42,3.00,3.54,0.88,0.60,14.62,0.00,4.02,4.39,12.08,13.30,2.93,1.29,100.98,0.00,21.32,25.33,68.96,73.00,0
'[11:45:15.410 11/09/2023]',0.09,0.09,1.43,0.00,0.43,0.41,1.08,1.11,0.21,0.24,2.10,0.00,0.63,0.54,1.44,1.60,0.38,0.39,4.94,0.00,1.39,1.49,3.09,3.61,0.92,0.61,15.90,0.00,4.39,4.77,13.05,14.35,3.08,1.36,106.18,0.00,22.42,26.64,72.50,76.74,0
'[11:45:15.434 11/09/2023]',0.09,0.09,1.41,0.00,0.41,0.40,1.11,1.14,0.22,0.24,2.13,0.00,0.63,0.54,1.45,1.58,0.37,0.38,5.26,0.00,1.46,1.58,3.28,3.78,0.95,0.62,17.17,0.00,4.73,5.15,13.99,15.38,3.23,1.43,110.91,0.00,23.43,27.85,75.71,80.14,0
'[11:45:15.469 11/09/2023]',0.09,0.09,1.43,0.00,0.40,0.40,1.11,1.16,0.22,0.25,2.08,0.00,0.65,0.54,1.44,1.50,0.37,0.37,5.32,0.00,1.52,1.62,3.28,3.78,0.98,0.63,18.25,0.00,5.05,5.47,14.75,16.23,3.36,1.50,115.24,0.00,24.37,28.96,78.65,83.25,0
'[11:45:15.498 11/09/2023]',0.09,0.09,1.36,0.00,0.39,0.39,1.04,1.09,0.22,0.25,2.10,0.00,0.64,0.55,1.41,1.51,0.36,0.36,5.46,0.00,1.55,1.66,3.37,3.88,1.01,0.64,19.07,0.00,5.34,5.73,15.32,16.87,3.49,1.55,119.51,0.00,25.27,30.04,81.54,86.31,0
'[11:45:15.522 11/09/2023]',0.09,0.09,1.43,0.00,0.37,0.40,1.04,1.09,0.21,0.25,2.04,0.00,0.65,0.57,1.45,1.54,0.36,0.35,5.70,0.00,1.62,1.73,3.52,4.05,1.04,0.65,19.94,0.00,5.62,5.99,15.90,17.51,3.62,1.61,124.04,0.00,26.24,31.18,84.64,89.58,0
'[11:45:15.559 11/09/2023]',0.09,0.09,1.50,0.00,0.36,0.40,1.10,1.14,0.21,0.25,2.18,0.00,0.67,0.57,1.48,1.60,0.35,0.34,5.99,0.00,1.68,1.81,3.74,4.31,1.06,0.67,20.80,0.00,5.86,6.23,16.49,18.15,3.77,1.67,129.19,0.00,27.36,32.48,88.14,93.29,0
'[11:45:15.588 11/09/2023]',0.10,0.09,1.43,0.00,0.37,0.40,1.04,1.10,0.21,0.25,2.19,0.00,0.68,0.58,1.47,1.64,0.33,0.33,6.19,0.00,1.75,1.89,3.90,4.52,1.08,0.68,21.37,0.00,6.04,6.39,16.83,18.52,3.95,1.74,135.23,0.00,28.65,34.01,92.25,97.65,0
'[11:45:15.619 11/09/2023]',0.10,0.10,1.48,0.00,0.37,0.42,1.03,1.15,0.21,0.25,2.32,0.00,0.73,0.63,1.50,1.75,0.32,0.32,6.19,0.00,1.77,1.91,3.99,4.62,1.09,0.70,21.68,0.00,6.20,6.49,16.98,18.69,4.15,1.82,141.97,0.00,30.06,35.70,96.86,102.52,0
'[11:45:15.642 11/09/2023]',0.10,0.10,1.53,0.00,0.35,0.42,1.08,1.21,0.22,0.26,2.49,0.00,0.75,0.66,1.60,1.87,0.31,0.32,6.36,0.00,1.82,1.98,4.14,4.78,1.10,0.71,22.09,0.00,6.36,6.63,17.18,18.92,4.36,1.91,149.06,0.00,31.56,37.48,101.70,107.65,0
'[11:45:15.668 11/09/2023]',0.10,0.10,1.43,0.00,0.35,0.40,1.02,1.13,0.22,0.26,2.52,0.00,0.77,0.68,1.61,1.89,0.30,0.31,6.44,0.00,1.86,2.02,4.19,4.85,1.11,0.72,22.61,0.00,6.49,6.80,17.48,19.24,4.57,2.01,156.33,0.00,33.10,39.32,106.67,112.91,0
'[11:45:15.699 11/09/2023]',0.10,0.10,1.44,0.00,0.36,0.40,0.99,1.11,0.23,0.26,2.60,0.00,0.80,0.70,1.60,1.92,0.29,0.30,6.58,0.00,1.91,2.08,4.30,5.03,1.12,0.74,22.93,0.00,6.65,6.90,17.57,19.33,4.79,2.10,163.55,0.00,34.62,41.14,111.58,118.11,0
'[11:45:15.724 11/09/2023]',0.10,0.10,1.47,0.00,0.35,0.39,1.04,1.16,0.23,0.27,2.61,0.00,0.79,0.69,1.58,1.89,0.28,0.29,6.54,0.00,1.92,2.09,4.27,5.02,1.12,0.75,23.19,0.00,6.80,6.99,17.61,19.31,4.99,2.20,170.38,0.00,36.05,42.86,116.24,123.05,0
'[11:45:15.749 11/09/2023]',0.10,0.10,1.40,0.00,0.35,0.37,1.00,1.13,0.24,0.27,2.59,0.00,0.81,0.69,1.52,1.86,0.27,0.29,6.63,0.00,1.95,2.13,4.37,5.15,1.12,0.76,23.47,0.00,6.95,7.08,17.63,19.24,5.17,2.29,176.65,0.00,37.37,44.44,120.52,127.58,0
'[11:45:15.777 11/09/2023]',0.11,0.11,1.38,0.00,0.34,0.37,0.97,1.06,0.24,0.27,2.60,0.00,0.82,0.68,1.49,1.79,0.27,0.29,6.69,0.00,1.98,2.16,4.42,5.25,1.13,0.76,23.99,0.00,7.09,7.17,17.65,19.19,5.34,2.38,182.27,0.00,38.55,45.85,124.33,131.62,0
'[11:45:15.809 11/09/2023]',0.11,0.11,1.38,0.00,0.34,0.37,0.97,1.04,0.24,0.27,2.53,0.00,0.82,0.67,1.44,1.71,0.26,0.28,6.84,0.00,2.02,2.21,4.56,5.47,1.12,0.76,24.48,0.00,7.21,7.27,17.56,19.06,5.49,2.45,187.23,0.00,39.59,47.10,127.69,135.18,0
'[11:45:15.858 11/09/2023]',0.11,0.11,1.35,0.00,0.33,0.36,0.98,1.05,0.24,0.27,2.54,0.00,0.84,0.68,1.42,1.67,0.26,0.28,6.88,0.00,2.04,2.23,4.58,5.55,1.11,0.76,25.03,0.00,7.29,7.42,17.45,19.32,5.62,2.52,191.58,0.00,40.50,48.19,130.64,138.30,0
'[11:45:15.961 11/09/2023]',0.11,0.11,1.28,0.00,0.32,0.35,0.92,1.01,0.24,0.27,2.52,0.00,0.84,0.68,1.36,1.58,0.26,0.27,6.95,0.00,2.06,2.25,4.67,5.71,1.10,0.75,25.57,0.00,7.36,7.57,17.59,19.79,5.73,2.58,195.37,0.00,41.30,49.15,133.22,141.04,0
'[11:45:16.075 11/09/2023]',0.10,0.11,1.24,0.00,0.31,0.34,0.88,0.99,0.24,0.26,2.53,0.00,0.85,0.68,1.35,1.55,0.25,0.27,7.05,0.00,2.09,2.28,4.78,5.91,1.08,0.74,26.03,0.00,7.41,7.70,17.95,20.18,5.83,2.64,198.74,0.00,42.02,50.00,135.51,143.46,0
'[11:45:16.164 11/09/2023]',0.10,0.11,1.18,0.00,0.30,0.33,0.86,1.00,0.23,0.25,2.52,0.00,0.86,0.69,1.36,1.55,0.24,0.27,7.13,0.00,2.13,2.32,4.92,6.13,1.08,0.73,26.46,0.00,7.46,7.82,18.28,20.53,5.92,2.68,201.77,0.00,42.66,50.77,137.58,145.65,0
'[11:45:16.266 11/09/2023]',0.10,0.10,1.10,0.00,0.29,0.31,0.80,0.93,0.23,0.25,2.51,0.00,0.87,0.68,1.36,1.52,0.25,0.26,7.22,0.00,2.16,2.34,5.04,6.35,1.11,0.72,26.85,0.00,7.55,7.92,18.54,20.81,6.00,2.72,204.54,0.00,43.24,51.48,139.47,147.66,0
'[11:45:16.360 11/09/2023]',0.10,0.10,1.07,0.00,0.28,0.30,0.77,0.91,0.24,0.25,2.46,0.00,0.88,0.68,1.31,1.44,0.26,0.27,7.32,0.00,2.20,2.36,5.11,6.51,1.13,0.71,27.21,0.00,7.66,8.01,18.83,21.12,6.08,2.76,207.10,0.00,43.78,52.13,141.20,149.49,0
'[11:45:16.455 11/09/2023]',0.10,0.10,1.02,0.00,0.27,0.29,0.73,0.88,0.25,0.25,2.44,0.00,0.87,0.67,1.29,1.39,0.27,0.28,7.38,0.00,2.24,2.38,5.15,6.62,1.14,0.71,27.52,0.00,7.77,8.10,19.08,21.38,6.15,2.79,209.48,0.00,44.29,52.74,142.81,151.21,0
'[11:45:16.543 11/09/2023]',0.10,0.09,0.98,0.00,0.26,0.29,0.70,0.87,0.26,0.26,2.41,0.00,0.88,0.67,1.27,1.34,0.28,0.30,7.42,0.00,2.27,2.39,5.16,6.71,1.15,0.71,27.84,0.00,7.87,8.20,19.35,21.67,6.22,2.82,211.66,0.00,44.76,53.29,144.28,152.77,0
'[11:45:16.627 11/09/2023]',0.10,0.09,0.95,0.00,0.25,0.28,0.66,0.84,0.27,0.26,2.38,0.00,0.88,0.66,1.25,1.29,0.29,0.31,7.46,0.00,2.30,2.41,5.20,6.81,1.15,0.72,28.14,0.00,7.97,8.29,19.64,21.98,6.28,2.85,213.66,0.00,45.17,53.80,145.63,154.21,0
