'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:34:10.691 11/09/2023]',0.35,0.26,0.33,0.70,0.18,0.11,0.00,0.41,0.44,0.35,0.41,1.53,0.26,0.28,0.00,0.87,0.45,0.37,0.98,2.73,0.66,0.42,0.00,1.66,0.62,0.69,2.21,6.39,1.85,1.34,0.00,5.43,0.71,0.44,6.59,6.77,2.09,1.37,0.00,5.30,0
'[11:34:10.723 11/09/2023]',0.36,0.27,0.32,0.68,0.18,0.10,0.00,0.42,0.45,0.36,0.42,1.49,0.27,0.29,0.00,0.85,0.45,0.36,0.96,2.72,0.67,0.44,0.00,1.70,0.63,0.68,2.24,6.33,1.84,1.33,0.00,5.50,0.70,0.45,6.14,6.83,1.95,1.28,0.00,5.37,0
'[11:34:10.757 11/09/2023]',0.38,0.27,0.33,0.70,0.18,0.11,0.00,0.44,0.46,0.37,0.42,1.53,0.28,0.30,0.00,0.82,0.45,0.36,0.96,2.71,0.67,0.45,0.00,1.78,0.65,0.66,2.25,6.40,1.82,1.32,0.00,5.54,0.69,0.45,5.73,6.80,1.82,1.22,0.00,5.35,0
'[11:34:10.786 11/09/2023]',0.39,0.28,0.32,0.67,0.18,0.10,0.00,0.44,0.45,0.37,0.41,1.52,0.28,0.30,0.00,0.81,0.43,0.35,0.97,2.67,0.66,0.45,0.00,1.82,0.64,0.65,2.30,6.50,1.81,1.32,0.00,5.60,0.67,0.45,5.35,6.76,1.70,1.20,0.00,5.33,0
'[11:34:10.811 11/09/2023]',0.39,0.28,0.31,0.64,0.17,0.10,0.00,0.43,0.44,0.37,0.39,1.50,0.27,0.29,0.00,0.83,0.40,0.34,1.00,2.76,0.66,0.45,0.00,1.90,0.63,0.62,2.32,6.53,1.79,1.31,0.00,5.59,0.64,0.45,4.98,6.69,1.62,1.17,0.00,5.26,0
'[11:34:10.853 11/09/2023]',0.39,0.28,0.32,0.63,0.17,0.09,0.00,0.42,0.43,0.36,0.39,1.50,0.26,0.29,0.00,0.82,0.38,0.34,1.01,2.82,0.65,0.45,0.00,1.95,0.62,0.61,2.37,6.53,1.77,1.31,0.00,5.61,0.61,0.46,4.63,6.61,1.59,1.22,0.00,5.20,0
'[11:34:10.917 11/09/2023]',0.39,0.27,0.31,0.61,0.16,0.09,0.00,0.39,0.42,0.34,0.40,1.50,0.26,0.28,0.00,0.82,0.35,0.34,1.01,2.88,0.65,0.46,0.00,1.98,0.61,0.60,2.42,6.55,1.75,1.30,0.00,5.75,0.57,0.47,4.31,6.50,1.57,1.26,0.00,5.11,0
'[11:34:10.981 11/09/2023]',0.38,0.26,0.30,0.59,0.16,0.09,0.00,0.38,0.40,0.32,0.41,1.49,0.26,0.27,0.00,0.83,0.36,0.34,1.00,2.90,0.64,0.46,0.00,1.99,0.59,0.59,2.46,6.72,1.72,1.28,0.00,5.94,0.57,0.48,4.02,6.44,1.54,1.28,0.00,5.04,0
'[11:34:11.050 11/09/2023]',0.37,0.25,0.30,0.61,0.15,0.08,0.00,0.36,0.39,0.31,0.42,1.52,0.25,0.27,0.00,0.84,0.36,0.34,1.00,2.98,0.63,0.46,0.00,2.02,0.57,0.58,2.48,6.92,1.70,1.26,0.00,6.14,0.56,0.49,3.73,6.36,1.52,1.30,0.00,4.96,0
'[11:34:11.105 11/09/2023]',0.37,0.24,0.32,0.59,0.15,0.08,0.00,0.36,0.37,0.30,0.44,1.51,0.25,0.26,0.00,0.84,0.36,0.34,0.99,3.03,0.63,0.46,0.00,2.07,0.55,0.57,2.52,7.02,1.65,1.24,0.00,6.30,0.55,0.50,3.47,6.25,1.53,1.32,0.00,4.88,0
'[11:34:11.172 11/09/2023]',0.36,0.23,0.31,0.56,0.15,0.08,0.00,0.38,0.37,0.29,0.45,1.55,0.26,0.25,0.00,0.87,0.36,0.34,0.96,2.99,0.61,0.45,0.00,2.16,0.52,0.57,2.60,7.12,1.60,1.28,0.00,6.39,0.54,0.51,3.24,6.43,1.57,1.32,0.00,5.04,0
'[11:34:11.243 11/09/2023]',0.35,0.22,0.31,0.58,0.14,0.08,0.00,0.37,0.36,0.28,0.45,1.52,0.25,0.24,0.00,0.85,0.35,0.33,0.96,3.03,0.62,0.47,0.00,2.20,0.50,0.56,2.68,7.12,1.53,1.34,0.00,6.37,0.54,0.51,3.21,6.62,1.60,1.31,0.00,5.20,0
'[11:34:11.300 11/09/2023]',0.34,0.21,0.32,0.60,0.14,0.08,0.00,0.36,0.35,0.27,0.45,1.46,0.25,0.22,0.00,0.84,0.35,0.33,0.97,3.11,0.62,0.48,0.00,2.20,0.48,0.56,2.76,7.15,1.47,1.39,0.00,6.35,0.53,0.51,3.28,6.81,1.64,1.29,0.00,5.38,0
'[11:34:11.361 11/09/2023]',0.34,0.20,0.33,0.64,0.14,0.08,0.00,0.35,0.33,0.26,0.44,1.39,0.26,0.22,0.00,0.82,0.35,0.32,0.97,3.18,0.61,0.50,0.00,2.21,0.47,0.58,2.85,7.20,1.42,1.44,0.00,6.43,0.53,0.51,3.36,7.02,1.69,1.28,0.00,5.57,0
'[11:34:11.431 11/09/2023]',0.33,0.19,0.33,0.68,0.14,0.07,0.00,0.33,0.32,0.25,0.44,1.32,0.26,0.24,0.00,0.81,0.34,0.32,0.98,3.25,0.62,0.51,0.00,2.21,0.45,0.58,2.92,7.21,1.40,1.48,0.00,6.49,0.52,0.50,3.46,7.27,1.74,1.28,0.00,5.79,0
'[11:34:11.485 11/09/2023]',0.33,0.18,0.32,0.68,0.13,0.07,0.00,0.33,0.32,0.24,0.46,1.31,0.25,0.26,0.00,0.80,0.33,0.31,0.98,3.23,0.61,0.50,0.00,2.25,0.45,0.59,3.01,7.32,1.40,1.50,0.00,6.49,0.53,0.50,3.58,7.55,1.80,1.30,0.00,6.00,0
'[11:34:11.553 11/09/2023]',0.32,0.18,0.32,0.71,0.12,0.07,0.00,0.35,0.31,0.24,0.46,1.27,0.25,0.28,0.00,0.80,0.32,0.32,1.00,3.30,0.62,0.51,0.00,2.26,0.47,0.61,3.13,7.43,1.41,1.49,0.00,6.40,0.52,0.49,3.67,7.72,1.84,1.32,0.00,6.12,0
'[11:34:11.609 11/09/2023]',0.32,0.17,0.32,0.71,0.12,0.07,0.00,0.34,0.31,0.24,0.48,1.25,0.26,0.30,0.00,0.83,0.31,0.33,0.99,3.29,0.61,0.51,0.00,2.31,0.48,0.63,3.25,7.41,1.46,1.47,0.00,6.30,0.52,0.47,3.74,7.82,1.88,1.32,0.00,6.16,0
'[11:34:11.670 11/09/2023]',0.31,0.17,0.30,0.68,0.12,0.07,0.00,0.36,0.30,0.24,0.48,1.25,0.27,0.31,0.00,0.83,0.31,0.33,1.00,3.31,0.61,0.52,0.00,2.38,0.50,0.65,3.34,7.36,1.50,1.44,0.00,6.18,0.52,0.45,3.81,7.93,1.90,1.31,0.00,6.20,0
'[11:34:11.728 11/09/2023]',0.30,0.16,0.30,0.72,0.11,0.07,0.00,0.37,0.30,0.25,0.48,1.31,0.28,0.32,0.00,0.87,0.31,0.34,1.03,3.44,0.62,0.53,0.00,2.39,0.51,0.66,3.38,7.33,1.53,1.41,0.00,6.00,0.51,0.44,3.81,7.90,1.88,1.30,0.00,6.11,0
'[11:34:11.789 11/09/2023]',0.30,0.15,0.30,0.73,0.11,0.07,0.00,0.37,0.29,0.25,0.50,1.26,0.30,0.34,0.00,0.92,0.31,0.34,1.05,3.51,0.62,0.55,0.00,2.35,0.53,0.67,3.41,7.28,1.54,1.39,0.00,5.85,0.51,0.42,3.77,7.80,1.84,1.28,0.00,5.97,0
'[11:34:11.854 11/09/2023]',0.30,0.15,0.30,0.73,0.11,0.08,0.00,0.36,0.29,0.25,0.49,1.24,0.31,0.34,0.00,0.93,0.32,0.34,1.04,3.51,0.62,0.54,0.00,2.34,0.54,0.68,3.39,7.12,1.56,1.36,0.00,5.63,0.50,0.42,3.70,7.58,1.80,1.25,0.00,5.75,0
'[11:34:11.905 11/09/2023]',0.29,0.15,0.30,0.72,0.11,0.08,0.00,0.36,0.28,0.26,0.49,1.24,0.32,0.35,0.00,0.92,0.32,0.35,1.04,3.53,0.63,0.55,0.00,2.31,0.55,0.69,3.41,7.05,1.54,1.35,0.00,5.45,0.49,0.42,3.57,7.27,1.72,1.20,0.00,5.46,0
'[11:34:11.927 11/09/2023]',0.28,0.14,0.30,0.72,0.10,0.07,0.00,0.36,0.28,0.26,0.49,1.24,0.33,0.35,0.00,0.91,0.32,0.35,1.03,3.57,0.63,0.55,0.00,2.31,0.56,0.70,3.42,6.98,1.52,1.33,0.00,5.28,0.48,0.42,3.46,7.00,1.65,1.17,0.00,5.23,0
'[11:34:11.956 11/09/2023]',0.27,0.14,0.29,0.70,0.10,0.07,0.00,0.34,0.28,0.25,0.48,1.21,0.34,0.35,0.00,0.91,0.32,0.34,1.02,3.55,0.62,0.55,0.00,2.26,0.56,0.70,3.43,6.98,1.49,1.30,0.00,5.06,0.46,0.42,3.32,6.70,1.55,1.14,0.00,5.06,0
'[11:34:11.976 11/09/2023]',0.26,0.13,0.29,0.67,0.10,0.07,0.00,0.35,0.28,0.25,0.47,1.24,0.34,0.35,0.00,0.92,0.31,0.33,1.03,3.58,0.62,0.55,0.00,2.27,0.56,0.69,3.41,6.85,1.47,1.26,0.00,4.92,0.45,0.41,3.13,6.33,1.45,1.13,0.00,5.11,0
'[11:34:12.007 11/09/2023]',0.25,0.12,0.28,0.64,0.10,0.07,0.00,0.35,0.27,0.24,0.47,1.27,0.35,0.35,0.00,0.94,0.31,0.32,1.00,3.57,0.62,0.55,0.00,2.24,0.56,0.68,3.38,6.71,1.45,1.22,0.00,4.82,0.43,0.41,3.06,6.10,1.35,1.12,0.00,5.16,0
'[11:34:12.035 11/09/2023]',0.23,0.12,0.26,0.64,0.10,0.07,0.00,0.34,0.26,0.24,0.47,1.32,0.35,0.36,0.00,0.97,0.30,0.32,0.97,3.57,0.62,0.54,0.00,2.22,0.58,0.67,3.35,6.59,1.42,1.20,0.00,4.73,0.42,0.40,3.02,6.06,1.33,1.11,0.00,5.21,0
'[11:34:12.064 11/09/2023]',0.22,0.11,0.25,0.63,0.10,0.07,0.00,0.34,0.25,0.23,0.47,1.38,0.36,0.35,0.00,1.00,0.30,0.32,0.93,3.57,0.62,0.53,0.00,2.21,0.60,0.66,3.31,6.49,1.39,1.17,0.00,4.64,0.40,0.39,2.97,5.99,1.30,1.09,0.00,5.24,0
'[11:34:12.086 11/09/2023]',0.21,0.11,0.24,0.61,0.10,0.07,0.00,0.34,0.24,0.23,0.48,1.43,0.37,0.35,0.00,1.04,0.29,0.32,0.93,3.59,0.62,0.53,0.00,2.23,0.62,0.66,3.25,6.38,1.38,1.16,0.00,4.53,0.39,0.39,2.95,6.01,1.29,1.07,0.00,5.34,0
'[11:34:12.110 11/09/2023]',0.19,0.11,0.24,0.61,0.09,0.07,0.00,0.34,0.24,0.22,0.48,1.41,0.37,0.35,0.00,1.03,0.29,0.32,0.98,3.56,0.61,0.52,0.00,2.21,0.64,0.65,3.18,6.27,1.36,1.15,0.00,4.74,0.39,0.38,2.91,5.96,1.27,1.05,0.00,5.40,0
'[11:34:12.140 11/09/2023]',0.18,0.10,0.23,0.60,0.09,0.07,0.00,0.33,0.23,0.22,0.45,1.40,0.37,0.34,0.00,1.02,0.28,0.32,1.05,3.48,0.60,0.51,0.00,2.16,0.67,0.64,3.08,6.13,1.35,1.14,0.00,4.88,0.39,0.37,2.90,5.91,1.26,1.05,0.00,5.46,0
'[11:34:12.167 11/09/2023]',0.17,0.10,0.23,0.60,0.10,0.07,0.00,0.35,0.24,0.21,0.42,1.36,0.36,0.33,0.00,0.97,0.28,0.33,1.12,3.45,0.59,0.49,0.00,2.17,0.68,0.63,2.99,6.04,1.36,1.14,0.00,4.96,0.39,0.37,2.94,5.81,1.23,1.04,0.00,5.46,0
'[11:34:12.196 11/09/2023]',0.17,0.10,0.22,0.59,0.10,0.07,0.00,0.34,0.23,0.20,0.40,1.37,0.36,0.33,0.00,0.98,0.29,0.33,1.19,3.36,0.57,0.47,0.00,2.13,0.69,0.63,2.91,6.10,1.41,1.14,0.00,5.02,0.39,0.36,2.93,5.67,1.19,1.02,0.00,5.43,0
'[11:34:12.221 11/09/2023]',0.16,0.10,0.21,0.59,0.10,0.07,0.00,0.34,0.22,0.20,0.38,1.37,0.36,0.32,0.00,0.97,0.30,0.32,1.26,3.27,0.55,0.47,0.00,2.07,0.68,0.62,2.84,6.18,1.45,1.15,0.00,5.10,0.39,0.35,2.92,5.57,1.16,1.01,0.00,5.44,0
'[11:34:12.249 11/09/2023]',0.15,0.09,0.20,0.61,0.10,0.08,0.00,0.36,0.22,0.20,0.37,1.39,0.37,0.33,0.00,0.99,0.31,0.32,1.32,3.21,0.52,0.45,0.00,2.05,0.68,0.61,2.74,6.19,1.49,1.13,0.00,5.10,0.39,0.35,2.87,5.37,1.12,0.98,0.00,5.33,0
'[11:34:12.277 11/09/2023]',0.14,0.09,0.20,0.59,0.10,0.08,0.00,0.35,0.22,0.20,0.38,1.41,0.38,0.33,0.00,0.99,0.32,0.32,1.38,3.31,0.50,0.43,0.00,1.98,0.67,0.60,2.67,6.14,1.54,1.10,0.00,5.02,0.38,0.34,2.81,5.16,1.11,0.95,0.00,5.26,0
'[11:34:12.305 11/09/2023]',0.13,0.09,0.20,0.62,0.10,0.08,0.00,0.36,0.22,0.20,0.40,1.36,0.39,0.33,0.00,0.98,0.33,0.32,1.46,3.57,0.50,0.41,0.00,1.90,0.66,0.59,2.70,6.08,1.60,1.07,0.00,4.93,0.38,0.34,2.73,5.09,1.10,0.92,0.00,5.19,0
'[11:34:12.336 11/09/2023]',0.13,0.09,0.19,0.63,0.10,0.08,0.00,0.36,0.22,0.20,0.40,1.36,0.39,0.32,0.00,0.94,0.33,0.31,1.52,3.81,0.53,0.40,0.00,1.95,0.66,0.58,2.73,6.35,1.65,1.04,0.00,5.01,0.37,0.34,2.70,5.12,1.10,0.91,0.00,5.19,0
'[11:34:12.370 11/09/2023]',0.12,0.09,0.19,0.65,0.09,0.08,0.00,0.38,0.22,0.20,0.42,1.34,0.41,0.32,0.00,0.91,0.32,0.31,1.55,3.95,0.55,0.38,0.00,2.01,0.65,0.57,2.76,6.48,1.69,1.06,0.00,5.18,0.37,0.34,2.66,5.09,1.10,0.88,0.00,5.12,0
'[11:34:12.403 11/09/2023]',0.11,0.09,0.19,0.63,0.10,0.09,0.00,0.37,0.22,0.20,0.41,1.31,0.41,0.31,0.00,0.86,0.32,0.31,1.58,4.06,0.56,0.36,0.00,2.06,0.63,0.57,2.79,6.62,1.71,1.07,0.00,5.35,0.38,0.33,2.61,5.04,1.11,0.88,0.00,5.02,0
'[11:34:12.429 11/09/2023]',0.11,0.08,0.18,0.60,0.09,0.08,0.00,0.36,0.22,0.20,0.41,1.30,0.40,0.29,0.00,0.84,0.32,0.31,1.60,4.15,0.57,0.35,0.00,2.08,0.63,0.57,2.82,6.70,1.73,1.08,0.00,5.48,0.38,0.34,2.58,5.00,1.11,0.87,0.00,4.95,0
'[11:34:12.452 11/09/2023]',0.10,0.08,0.18,0.57,0.10,0.08,0.00,0.34,0.22,0.20,0.40,1.25,0.40,0.28,0.00,0.79,0.33,0.31,1.64,4.23,0.59,0.33,0.00,2.11,0.62,0.57,2.82,6.73,1.74,1.11,0.00,5.55,0.38,0.34,2.52,4.94,1.11,0.86,0.00,4.93,0
'[11:34:12.477 11/09/2023]',0.10,0.08,0.18,0.54,0.11,0.09,0.00,0.34,0.22,0.20,0.39,1.19,0.40,0.27,0.00,0.75,0.34,0.30,1.67,4.32,0.61,0.31,0.00,2.12,0.62,0.56,2.81,6.71,1.73,1.12,0.00,5.57,0.39,0.34,2.47,4.84,1.09,0.84,0.00,4.90,0
'[11:34:12.504 11/09/2023]',0.10,0.08,0.17,0.51,0.10,0.08,0.00,0.32,0.21,0.19,0.37,1.13,0.39,0.25,0.00,0.71,0.34,0.29,1.71,4.44,0.62,0.32,0.00,2.15,0.60,0.55,2.81,6.70,1.71,1.12,0.00,5.61,0.39,0.34,2.43,4.82,1.09,0.84,0.00,4.82,0
'[11:34:12.528 11/09/2023]',0.09,0.08,0.16,0.48,0.10,0.08,0.00,0.30,0.21,0.18,0.37,1.07,0.38,0.24,0.00,0.67,0.33,0.28,1.72,4.55,0.62,0.31,0.00,2.20,0.59,0.53,2.81,6.72,1.69,1.12,0.00,5.66,0.39,0.33,2.39,4.75,1.09,0.84,0.00,4.77,0
'[11:34:12.560 11/09/2023]',0.09,0.08,0.16,0.51,0.10,0.08,0.00,0.32,0.21,0.18,0.36,1.03,0.38,0.23,0.00,0.65,0.33,0.26,1.73,4.59,0.62,0.30,0.00,2.22,0.60,0.53,2.80,6.72,1.67,1.11,0.00,5.69,0.40,0.32,2.36,4.71,1.10,0.87,0.00,4.70,0
'[11:34:12.589 11/09/2023]',0.08,0.08,0.17,0.54,0.10,0.08,0.00,0.36,0.21,0.17,0.35,1.05,0.38,0.23,0.00,0.70,0.33,0.25,1.71,4.54,0.61,0.29,0.00,2.17,0.61,0.54,2.77,6.63,1.64,1.11,0.00,5.65,0.41,0.31,2.38,4.68,1.10,0.90,0.00,4.57,0
'[11:34:12.617 11/09/2023]',0.08,0.07,0.17,0.50,0.09,0.08,0.00,0.35,0.20,0.16,0.34,1.07,0.37,0.22,0.00,0.71,0.33,0.23,1.67,4.44,0.61,0.28,0.00,2.12,0.63,0.54,2.76,6.56,1.59,1.13,0.00,5.59,0.43,0.31,2.38,4.55,1.08,0.92,0.00,4.47,0
'[11:34:12.646 11/09/2023]',0.08,0.07,0.17,0.49,0.09,0.08,0.00,0.36,0.19,0.15,0.33,1.07,0.36,0.21,0.00,0.70,0.33,0.22,1.64,4.32,0.62,0.27,0.00,2.06,0.65,0.54,2.73,6.60,1.54,1.13,0.00,5.50,0.44,0.31,2.36,4.39,1.05,0.95,0.00,4.48,0
'[11:34:12.674 11/09/2023]',0.07,0.06,0.17,0.47,0.09,0.08,0.00,0.36,0.19,0.15,0.31,1.05,0.35,0.20,0.00,0.68,0.32,0.21,1.63,4.26,0.62,0.27,0.00,2.03,0.68,0.54,2.70,6.56,1.49,1.13,0.00,5.42,0.45,0.31,2.32,4.29,1.03,0.96,0.00,4.51,0
'[11:34:12.703 11/09/2023]',0.07,0.06,0.16,0.45,0.08,0.07,0.00,0.35,0.19,0.15,0.30,1.06,0.34,0.19,0.00,0.69,0.32,0.21,1.62,4.25,0.61,0.27,0.00,2.03,0.70,0.53,2.67,6.52,1.43,1.13,0.00,5.34,0.45,0.30,2.27,4.17,1.02,0.98,0.00,4.48,0
'[11:34:12.727 11/09/2023]',0.07,0.06,0.16,0.47,0.08,0.07,0.00,0.37,0.18,0.15,0.29,1.08,0.32,0.19,0.00,0.69,0.31,0.20,1.63,4.27,0.61,0.28,0.00,2.05,0.72,0.54,2.65,6.52,1.37,1.13,0.00,5.27,0.46,0.29,2.25,4.02,1.01,0.98,0.00,4.47,0
'[11:34:12.758 11/09/2023]',0.07,0.06,0.16,0.44,0.08,0.08,0.00,0.35,0.18,0.15,0.29,1.06,0.31,0.20,0.00,0.67,0.31,0.20,1.62,4.27,0.61,0.28,0.00,2.05,0.74,0.55,2.64,6.54,1.32,1.12,0.00,5.21,0.45,0.28,2.24,3.93,1.00,0.99,0.00,4.47,0
'[11:34:12.789 11/09/2023]',0.07,0.06,0.15,0.43,0.08,0.07,0.00,0.36,0.18,0.15,0.29,1.07,0.31,0.20,0.00,0.67,0.31,0.21,1.60,4.23,0.60,0.27,0.00,2.03,0.75,0.55,2.62,6.58,1.25,1.14,0.00,5.11,0.45,0.28,2.25,3.96,0.98,0.99,0.00,4.53,0
'[11:34:12.818 11/09/2023]',0.07,0.06,0.16,0.42,0.08,0.07,0.00,0.36,0.18,0.15,0.29,1.12,0.30,0.19,0.00,0.68,0.31,0.21,1.57,4.17,0.58,0.26,0.00,2.00,0.77,0.55,2.58,6.56,1.17,1.15,0.00,4.99,0.44,0.26,2.27,4.01,0.96,0.98,0.00,4.56,0
'[11:34:12.857 11/09/2023]',0.06,0.06,0.15,0.41,0.08,0.08,0.00,0.37,0.18,0.15,0.30,1.15,0.30,0.19,0.00,0.68,0.31,0.21,1.52,4.07,0.58,0.25,0.00,1.97,0.77,0.55,2.55,6.52,1.09,1.16,0.00,5.03,0.44,0.27,2.24,3.95,0.94,0.98,0.00,4.53,0
'[11:34:12.927 11/09/2023]',0.06,0.07,0.16,0.40,0.08,0.08,0.00,0.36,0.18,0.15,0.30,1.20,0.29,0.19,0.00,0.70,0.31,0.20,1.46,3.95,0.55,0.26,0.00,1.91,0.77,0.55,2.51,6.51,1.09,1.16,0.00,5.09,0.45,0.29,2.18,3.79,0.93,0.97,0.00,4.43,0
'[11:34:12.995 11/09/2023]',0.06,0.07,0.16,0.40,0.07,0.08,0.00,0.35,0.18,0.15,0.30,1.20,0.28,0.18,0.00,0.71,0.31,0.21,1.41,3.80,0.54,0.26,0.00,1.85,0.77,0.54,2.48,6.51,1.10,1.15,0.00,5.18,0.46,0.30,2.16,3.75,0.92,0.96,0.00,4.33,0
'[11:34:13.060 11/09/2023]',0.06,0.07,0.15,0.39,0.07,0.08,0.00,0.36,0.17,0.15,0.30,1.23,0.28,0.18,0.00,0.75,0.31,0.21,1.36,3.69,0.53,0.27,0.00,1.82,0.77,0.54,2.46,6.57,1.11,1.14,0.00,5.31,0.48,0.31,2.13,3.90,0.91,0.95,0.00,4.21,0
'[11:34:13.128 11/09/2023]',0.06,0.07,0.15,0.38,0.07,0.08,0.00,0.33,0.17,0.15,0.29,1.22,0.27,0.18,0.00,0.74,0.31,0.21,1.32,3.58,0.52,0.27,0.00,1.79,0.76,0.53,2.48,6.61,1.12,1.13,0.00,5.43,0.48,0.32,2.12,4.05,0.89,0.93,0.00,4.10,0
'[11:34:13.196 11/09/2023]',0.06,0.06,0.18,0.39,0.07,0.08,0.00,0.36,0.17,0.15,0.32,1.30,0.27,0.18,0.00,0.80,0.31,0.21,1.26,3.39,0.50,0.28,0.00,1.67,0.74,0.53,2.52,6.59,1.14,1.12,0.00,5.54,0.48,0.33,2.10,4.11,0.89,0.92,0.00,4.01,0
'[11:34:13.265 11/09/2023]',0.06,0.07,0.18,0.43,0.07,0.08,0.00,0.36,0.17,0.14,0.31,1.31,0.26,0.17,0.00,0.80,0.30,0.21,1.19,3.31,0.49,0.27,0.00,1.65,0.72,0.53,2.56,6.50,1.15,1.10,0.00,5.57,0.47,0.33,2.08,4.23,0.86,0.90,0.00,3.87,0
'[11:34:13.328 11/09/2023]',0.06,0.07,0.18,0.42,0.07,0.09,0.00,0.35,0.17,0.14,0.31,1.33,0.26,0.18,0.00,0.83,0.29,0.21,1.15,3.25,0.48,0.29,0.00,1.63,0.69,0.51,2.58,6.31,1.14,1.05,0.00,5.53,0.47,0.34,2.08,4.34,0.85,0.88,0.00,3.74,0
'[11:34:13.387 11/09/2023]',0.06,0.07,0.17,0.43,0.07,0.09,0.00,0.39,0.16,0.13,0.30,1.35,0.25,0.18,0.00,0.86,0.29,0.21,1.12,3.11,0.46,0.30,0.00,1.55,0.67,0.50,2.58,6.19,1.13,1.00,0.00,5.44,0.48,0.34,2.10,4.45,0.84,0.85,0.00,3.64,0
'[11:34:13.450 11/09/2023]',0.06,0.07,0.17,0.43,0.07,0.09,0.00,0.37,0.16,0.13,0.29,1.30,0.25,0.17,0.00,0.83,0.28,0.22,1.06,2.98,0.44,0.30,0.00,1.45,0.64,0.50,2.59,6.29,1.12,0.96,0.00,5.32,0.50,0.35,2.14,4.57,0.84,0.84,0.00,3.73,0
'[11:34:13.511 11/09/2023]',0.06,0.07,0.17,0.41,0.07,0.08,0.00,0.35,0.16,0.14,0.29,1.29,0.24,0.17,0.00,0.82,0.27,0.22,1.02,2.90,0.43,0.30,0.00,1.40,0.62,0.52,2.63,6.43,1.10,0.99,0.00,5.24,0.52,0.36,2.14,4.65,0.84,0.84,0.00,3.82,0
'[11:34:13.576 11/09/2023]',0.06,0.07,0.17,0.44,0.07,0.08,0.00,0.38,0.16,0.14,0.28,1.22,0.23,0.17,0.00,0.77,0.27,0.22,0.99,2.78,0.42,0.30,0.00,1.31,0.60,0.53,2.69,6.65,1.09,1.01,0.00,5.39,0.54,0.37,2.10,4.77,0.85,0.83,0.00,3.92,0
'[11:34:13.646 11/09/2023]',0.06,0.07,0.16,0.42,0.07,0.08,0.00,0.37,0.16,0.14,0.28,1.22,0.23,0.17,0.00,0.78,0.26,0.22,0.95,2.61,0.41,0.30,0.00,1.25,0.60,0.53,2.75,6.87,1.07,1.04,0.00,5.60,0.55,0.38,2.05,4.86,0.86,0.82,0.00,4.03,0
'[11:34:13.706 11/09/2023]',0.06,0.07,0.17,0.41,0.07,0.08,0.00,0.36,0.16,0.14,0.28,1.21,0.22,0.17,0.00,0.76,0.26,0.22,0.90,2.50,0.41,0.29,0.00,1.23,0.62,0.54,2.79,7.12,1.04,1.07,0.00,5.84,0.56,0.39,1.98,4.89,0.87,0.82,0.00,4.09,0
'[11:34:13.769 11/09/2023]',0.06,0.07,0.17,0.39,0.07,0.08,0.00,0.36,0.17,0.14,0.28,1.22,0.21,0.17,0.00,0.75,0.25,0.22,0.86,2.42,0.41,0.28,0.00,1.23,0.63,0.55,2.83,7.35,1.02,1.09,0.00,6.08,0.56,0.40,1.97,4.92,0.88,0.84,0.00,4.13,0
'[11:34:13.840 11/09/2023]',0.06,0.07,0.16,0.38,0.07,0.08,0.00,0.35,0.17,0.14,0.28,1.25,0.20,0.17,0.00,0.76,0.25,0.22,0.81,2.34,0.40,0.28,0.00,1.22,0.64,0.55,2.84,7.56,0.99,1.12,0.00,6.29,0.55,0.41,1.99,4.95,0.88,0.86,0.00,4.18,0
'[11:34:13.887 11/09/2023]',0.06,0.07,0.16,0.39,0.07,0.07,0.00,0.36,0.16,0.14,0.27,1.31,0.19,0.17,0.00,0.74,0.26,0.22,0.77,2.23,0.40,0.28,0.00,1.16,0.64,0.55,2.88,7.74,0.94,1.13,0.00,6.46,0.55,0.43,2.08,5.10,0.88,0.90,0.00,4.30,0
'[11:34:13.910 11/09/2023]',0.06,0.07,0.15,0.38,0.07,0.07,0.00,0.38,0.16,0.15,0.27,1.34,0.18,0.16,0.00,0.76,0.26,0.21,0.73,2.19,0.39,0.28,0.00,1.15,0.64,0.56,2.92,7.96,0.97,1.16,0.00,6.64,0.53,0.44,2.14,5.23,0.92,0.91,0.00,4.38,0
'[11:34:13.938 11/09/2023]',0.06,0.07,0.17,0.38,0.08,0.08,0.00,0.39,0.16,0.15,0.29,1.41,0.18,0.15,0.00,0.77,0.26,0.21,0.72,2.17,0.39,0.28,0.00,1.13,0.65,0.56,2.93,8.13,1.00,1.19,0.00,6.81,0.51,0.45,2.25,5.42,0.98,0.92,0.00,4.50,0
'[11:34:13.963 11/09/2023]',0.06,0.07,0.16,0.37,0.07,0.08,0.00,0.38,0.16,0.15,0.28,1.44,0.18,0.15,0.00,0.74,0.26,0.21,0.69,2.14,0.38,0.29,0.00,1.06,0.65,0.55,2.93,8.27,1.03,1.22,0.00,6.94,0.49,0.45,2.36,5.58,1.03,0.92,0.00,4.59,0
