'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'[11:18:30.901 26/09/2023]',0.19,0.00,0.11,0.13,0.08,0.08,0.11,0.61,0.17,0.00,0.17,0.19,0.16,0.15,0.20,2.97,0.27,0.00,0.30,0.21,0.26,0.20,0.34,4.19,0.98,0.00,0.96,1.22,0.81,1.46,1.92,7.05,2.41,0.00,2.34,2.30,2.21,2.29,1.97,13.67,0
'[11:18:30.988 26/09/2023]',0.20,0.00,0.12,0.14,0.09,0.08,0.11,0.62,0.18,0.00,0.16,0.18,0.15,0.15,0.19,3.02,0.27,0.00,0.30,0.21,0.26,0.19,0.34,4.21,1.01,0.00,0.96,1.23,0.82,1.46,1.95,6.94,2.46,0.00,2.37,2.34,2.25,2.33,2.00,13.93,0
'[11:18:31.043 26/09/2023]',0.20,0.00,0.12,0.14,0.09,0.08,0.11,0.60,0.19,0.00,0.16,0.18,0.15,0.15,0.19,3.08,0.27,0.00,0.29,0.22,0.26,0.19,0.34,4.22,1.04,0.00,0.97,1.26,0.84,1.45,1.97,6.92,2.49,0.00,2.39,2.38,2.29,2.37,2.03,14.16,0
'[11:18:31.065 26/09/2023]',0.20,0.00,0.12,0.15,0.09,0.09,0.11,0.58,0.19,0.00,0.16,0.18,0.15,0.15,0.20,3.17,0.27,0.00,0.28,0.21,0.25,0.19,0.34,4.22,1.08,0.00,0.98,1.27,0.87,1.45,2.00,7.36,2.53,0.00,2.42,2.41,2.33,2.41,2.06,14.38,0
'[11:18:31.089 26/09/2023]',0.20,0.00,0.12,0.15,0.09,0.08,0.12,0.62,0.20,0.00,0.16,0.18,0.15,0.15,0.20,3.24,0.27,0.00,0.27,0.21,0.24,0.18,0.33,4.13,1.11,0.00,1.00,1.28,0.88,1.46,2.03,7.64,2.56,0.00,2.44,2.45,2.36,2.44,2.08,14.57,0
'[11:18:31.115 26/09/2023]',0.20,0.00,0.12,0.15,0.09,0.09,0.12,0.63,0.21,0.00,0.16,0.18,0.15,0.15,0.20,3.25,0.28,0.00,0.26,0.21,0.23,0.18,0.33,4.03,1.11,0.00,1.00,1.28,0.90,1.47,2.07,7.90,2.56,0.00,2.42,2.48,2.39,2.48,2.07,14.77,0
'[11:18:31.145 26/09/2023]',0.21,0.00,0.13,0.14,0.09,0.09,0.12,0.62,0.22,0.00,0.15,0.19,0.15,0.15,0.21,3.21,0.28,0.00,0.27,0.22,0.22,0.20,0.33,3.85,1.11,0.00,0.99,1.25,0.90,1.46,2.10,7.98,2.50,0.00,2.36,2.46,2.38,2.48,2.01,14.70,0
'[11:18:31.173 26/09/2023]',0.21,0.00,0.13,0.15,0.10,0.09,0.12,0.61,0.22,0.00,0.16,0.18,0.16,0.16,0.22,3.17,0.29,0.00,0.27,0.23,0.22,0.21,0.34,3.69,1.11,0.00,0.99,1.22,0.90,1.44,2.12,8.04,2.42,0.00,2.27,2.40,2.32,2.42,1.91,14.35,0
'[11:18:31.204 26/09/2023]',0.21,0.00,0.13,0.15,0.10,0.09,0.12,0.61,0.22,0.00,0.16,0.17,0.16,0.17,0.22,3.12,0.29,0.00,0.27,0.23,0.22,0.20,0.34,3.55,1.09,0.00,0.98,1.19,0.91,1.43,2.14,8.12,2.33,0.00,2.17,2.31,2.24,2.35,1.81,13.85,0
'[11:18:31.227 26/09/2023]',0.22,0.00,0.13,0.15,0.10,0.09,0.12,0.59,0.22,0.00,0.16,0.17,0.16,0.17,0.22,3.07,0.29,0.00,0.27,0.23,0.22,0.20,0.34,3.45,1.08,0.00,0.97,1.17,0.92,1.41,2.17,8.21,2.23,0.00,2.07,2.21,2.14,2.26,1.72,13.27,0
'[11:18:31.257 26/09/2023]',0.22,0.00,0.13,0.14,0.09,0.09,0.13,0.61,0.22,0.00,0.15,0.17,0.17,0.18,0.22,3.03,0.29,0.00,0.28,0.23,0.22,0.19,0.34,3.32,1.06,0.00,0.97,1.14,0.93,1.38,2.19,8.26,2.15,0.00,1.98,2.11,2.04,2.17,1.67,12.68,0
'[11:18:31.290 26/09/2023]',0.22,0.00,0.13,0.14,0.09,0.09,0.13,0.60,0.22,0.00,0.15,0.16,0.17,0.18,0.22,2.96,0.28,0.00,0.28,0.23,0.22,0.18,0.35,3.24,1.06,0.00,0.99,1.10,0.97,1.36,2.19,8.19,2.07,0.00,1.89,2.02,1.95,2.08,1.61,12.15,0
'[11:18:31.321 26/09/2023]',0.22,0.00,0.13,0.14,0.09,0.09,0.13,0.60,0.22,0.00,0.15,0.16,0.17,0.18,0.23,2.90,0.29,0.00,0.28,0.23,0.22,0.19,0.35,3.20,1.08,0.00,1.00,1.08,1.00,1.33,2.19,8.20,1.99,0.00,1.82,1.94,1.87,2.01,1.58,11.65,0
'[11:18:31.351 26/09/2023]',0.22,0.00,0.13,0.14,0.09,0.09,0.13,0.62,0.23,0.00,0.15,0.17,0.17,0.19,0.23,2.85,0.29,0.00,0.28,0.22,0.22,0.20,0.35,3.15,1.10,0.00,1.01,1.05,1.03,1.29,2.18,8.17,1.92,0.00,1.75,1.86,1.79,1.93,1.56,11.20,0
'[11:18:31.378 26/09/2023]',0.22,0.00,0.13,0.14,0.09,0.08,0.13,0.60,0.23,0.00,0.15,0.17,0.17,0.19,0.24,2.78,0.29,0.00,0.28,0.23,0.22,0.19,0.35,3.11,1.11,0.00,1.02,1.01,1.06,1.24,2.16,8.18,1.84,0.00,1.68,1.79,1.72,1.86,1.54,10.76,0
'[11:18:31.407 26/09/2023]',0.21,0.00,0.13,0.13,0.09,0.08,0.13,0.62,0.22,0.00,0.15,0.17,0.16,0.19,0.24,2.66,0.29,0.00,0.28,0.23,0.22,0.19,0.34,3.13,1.12,0.00,1.03,1.01,1.08,1.19,2.14,8.14,1.75,0.00,1.62,1.72,1.67,1.79,1.49,10.33,0
'[11:18:31.432 26/09/2023]',0.21,0.00,0.13,0.13,0.09,0.08,0.13,0.58,0.22,0.00,0.15,0.17,0.16,0.19,0.24,2.61,0.29,0.00,0.28,0.23,0.22,0.19,0.34,3.07,1.12,0.00,1.02,1.02,1.10,1.17,2.13,8.01,1.70,0.00,1.59,1.65,1.63,1.71,1.46,9.90,0
'[11:18:31.460 26/09/2023]',0.21,0.00,0.12,0.13,0.09,0.08,0.13,0.57,0.21,0.00,0.15,0.16,0.16,0.19,0.23,2.54,0.28,0.00,0.28,0.23,0.22,0.18,0.34,2.97,1.13,0.00,1.03,1.03,1.13,1.18,2.10,7.87,1.68,0.00,1.60,1.63,1.55,1.65,1.46,9.67,0
'[11:18:31.494 26/09/2023]',0.20,0.00,0.12,0.13,0.09,0.08,0.12,0.58,0.21,0.00,0.15,0.16,0.16,0.19,0.23,2.50,0.28,0.00,0.29,0.22,0.23,0.18,0.34,2.86,1.13,0.00,1.04,1.06,1.16,1.18,2.09,7.77,1.69,0.00,1.64,1.64,1.56,1.65,1.45,9.70,0
'[11:18:31.525 26/09/2023]',0.19,0.00,0.12,0.12,0.09,0.07,0.13,0.62,0.21,0.00,0.15,0.16,0.16,0.19,0.22,2.46,0.27,0.00,0.29,0.22,0.25,0.18,0.33,2.80,1.12,0.00,1.04,1.10,1.20,1.22,2.09,7.75,1.71,0.00,1.69,1.69,1.59,1.66,1.44,9.85,0
'[11:18:31.558 26/09/2023]',0.18,0.00,0.12,0.12,0.08,0.08,0.13,0.59,0.20,0.00,0.15,0.15,0.16,0.18,0.22,2.37,0.26,0.00,0.28,0.21,0.25,0.18,0.33,2.73,1.10,0.00,1.04,1.14,1.23,1.25,2.08,7.76,1.74,0.00,1.73,1.74,1.64,1.69,1.42,10.07,0
'[11:18:31.611 26/09/2023]',0.17,0.00,0.11,0.12,0.08,0.07,0.13,0.59,0.20,0.00,0.15,0.15,0.16,0.18,0.22,2.30,0.26,0.00,0.27,0.22,0.26,0.17,0.34,2.65,1.10,0.00,1.03,1.16,1.26,1.27,2.06,7.71,1.76,0.00,1.77,1.80,1.68,1.72,1.44,10.29,0
'[11:18:31.635 26/09/2023]',0.16,0.00,0.10,0.11,0.08,0.07,0.13,0.56,0.19,0.00,0.15,0.15,0.16,0.18,0.21,2.24,0.26,0.00,0.27,0.21,0.26,0.17,0.33,2.55,1.10,0.00,1.03,1.18,1.29,1.29,2.01,7.62,1.76,0.00,1.79,1.84,1.71,1.74,1.44,10.43,0
'[11:18:31.669 26/09/2023]',0.16,0.00,0.10,0.11,0.07,0.07,0.13,0.52,0.18,0.00,0.15,0.15,0.17,0.18,0.21,2.30,0.25,0.00,0.27,0.22,0.26,0.17,0.32,2.46,1.11,0.00,1.03,1.19,1.31,1.30,1.93,7.48,1.77,0.00,1.82,1.87,1.73,1.75,1.46,10.51,0
'[11:18:31.701 26/09/2023]',0.15,0.00,0.10,0.11,0.07,0.07,0.12,0.53,0.17,0.00,0.16,0.16,0.18,0.18,0.21,2.36,0.24,0.00,0.26,0.22,0.26,0.16,0.31,2.39,1.13,0.00,1.03,1.19,1.32,1.30,1.84,7.41,1.79,0.00,1.84,1.90,1.75,1.77,1.48,10.61,0
'[11:18:31.735 26/09/2023]',0.14,0.00,0.09,0.10,0.07,0.07,0.13,0.52,0.17,0.00,0.16,0.16,0.18,0.18,0.21,2.48,0.24,0.00,0.25,0.22,0.26,0.17,0.31,2.34,1.16,0.00,1.03,1.19,1.33,1.29,1.74,7.61,1.81,0.00,1.88,1.94,1.78,1.78,1.51,10.74,0
'[11:18:31.761 26/09/2023]',0.13,0.00,0.09,0.09,0.07,0.07,0.14,0.51,0.16,0.00,0.16,0.16,0.18,0.19,0.21,2.55,0.22,0.00,0.25,0.21,0.26,0.16,0.30,2.29,1.20,0.00,1.02,1.19,1.32,1.29,1.65,7.70,1.85,0.00,1.93,1.98,1.81,1.81,1.55,10.94,0
'[11:18:31.791 26/09/2023]',0.13,0.00,0.08,0.09,0.07,0.06,0.13,0.50,0.17,0.00,0.16,0.16,0.18,0.19,0.20,2.61,0.21,0.00,0.25,0.20,0.27,0.15,0.30,2.16,1.24,0.00,1.02,1.18,1.32,1.26,1.67,7.64,1.90,0.00,1.98,2.03,1.86,1.85,1.58,11.19,0
'[11:18:31.822 26/09/2023]',0.13,0.00,0.09,0.09,0.06,0.07,0.13,0.50,0.18,0.00,0.17,0.17,0.19,0.19,0.20,2.68,0.21,0.00,0.25,0.18,0.27,0.15,0.30,2.07,1.27,0.00,1.02,1.15,1.31,1.22,1.70,7.57,1.95,0.00,2.03,2.09,1.91,1.89,1.63,11.51,0
'[11:18:31.855 26/09/2023]',0.12,0.00,0.08,0.09,0.07,0.07,0.13,0.48,0.19,0.00,0.18,0.18,0.20,0.20,0.20,2.70,0.20,0.00,0.25,0.19,0.26,0.15,0.31,2.02,1.31,0.00,0.99,1.11,1.31,1.17,1.73,7.43,2.01,0.00,2.09,2.16,1.97,1.94,1.69,11.87,0
'[11:18:31.882 26/09/2023]',0.12,0.00,0.08,0.09,0.07,0.07,0.12,0.48,0.20,0.00,0.19,0.18,0.21,0.20,0.20,2.78,0.20,0.00,0.24,0.18,0.25,0.14,0.32,2.04,1.32,0.00,0.97,1.07,1.31,1.12,1.79,7.32,2.07,0.00,2.14,2.22,2.02,2.00,1.75,12.29,0
'[11:18:31.915 26/09/2023]',0.11,0.00,0.08,0.09,0.07,0.07,0.12,0.47,0.20,0.00,0.19,0.19,0.21,0.21,0.20,2.80,0.20,0.00,0.24,0.18,0.26,0.14,0.33,2.07,1.33,0.00,0.95,1.05,1.30,1.09,1.83,7.21,2.13,0.00,2.19,2.29,2.08,2.05,1.81,12.68,0
'[11:18:31.948 26/09/2023]',0.11,0.00,0.07,0.08,0.06,0.07,0.12,0.53,0.20,0.00,0.20,0.20,0.22,0.21,0.20,2.72,0.20,0.00,0.24,0.18,0.26,0.14,0.34,2.15,1.33,0.00,0.93,1.03,1.27,1.06,1.86,6.96,2.18,0.00,2.23,2.34,2.14,2.10,1.86,13.07,0
'[11:18:31.981 26/09/2023]',0.11,0.00,0.07,0.08,0.06,0.06,0.11,0.50,0.20,0.00,0.20,0.20,0.23,0.21,0.20,2.74,0.20,0.00,0.24,0.18,0.27,0.15,0.35,2.13,1.33,0.00,0.91,1.01,1.24,1.05,1.89,6.74,2.23,0.00,2.27,2.39,2.18,2.15,1.90,13.40,0
'[11:18:32.041 26/09/2023]',0.11,0.00,0.07,0.08,0.06,0.06,0.12,0.52,0.21,0.00,0.21,0.20,0.23,0.21,0.20,2.78,0.20,0.00,0.25,0.19,0.27,0.16,0.37,2.05,1.33,0.00,0.88,0.98,1.22,1.04,1.91,6.49,2.27,0.00,2.30,2.43,2.23,2.20,1.93,13.69,0
'[11:18:32.140 26/09/2023]',0.11,0.00,0.07,0.08,0.06,0.06,0.11,0.49,0.21,0.00,0.21,0.21,0.23,0.21,0.20,2.75,0.20,0.00,0.26,0.19,0.27,0.17,0.37,2.05,1.33,0.00,0.86,0.97,1.20,1.02,1.94,6.22,2.30,0.00,2.33,2.47,2.26,2.24,1.95,13.93,0
'[11:18:32.228 26/09/2023]',0.10,0.00,0.07,0.08,0.06,0.06,0.11,0.48,0.21,0.00,0.21,0.21,0.24,0.20,0.20,2.74,0.20,0.00,0.26,0.20,0.27,0.17,0.37,2.03,1.31,0.00,0.86,0.94,1.17,1.02,1.95,6.02,2.32,0.00,2.35,2.50,2.30,2.28,1.98,14.14,0
'[11:18:32.323 26/09/2023]',0.10,0.00,0.07,0.07,0.06,0.06,0.10,0.50,0.22,0.00,0.21,0.22,0.24,0.20,0.20,2.65,0.20,0.00,0.26,0.19,0.27,0.16,0.38,1.95,1.29,0.00,0.88,0.92,1.14,1.02,1.96,5.96,2.34,0.00,2.36,2.53,2.33,2.31,2.01,14.33,0
'[11:18:32.420 26/09/2023]',0.10,0.00,0.07,0.07,0.06,0.06,0.10,0.48,0.22,0.00,0.22,0.22,0.24,0.20,0.21,2.64,0.20,0.00,0.26,0.20,0.28,0.16,0.38,1.99,1.30,0.00,0.88,0.90,1.10,1.01,1.98,5.80,2.36,0.00,2.38,2.55,2.35,2.33,2.04,14.50,0
'[11:18:32.517 26/09/2023]',0.10,0.00,0.07,0.07,0.06,0.06,0.10,0.47,0.23,0.00,0.22,0.22,0.25,0.20,0.21,2.60,0.21,0.00,0.25,0.20,0.29,0.16,0.37,2.00,1.33,0.00,0.89,0.88,1.07,1.01,2.02,5.83,2.38,0.00,2.40,2.57,2.37,2.36,2.07,14.63,0
'[11:18:32.614 26/09/2023]',0.10,0.00,0.07,0.07,0.06,0.06,0.09,0.46,0.22,0.00,0.22,0.23,0.25,0.21,0.22,2.59,0.21,0.00,0.25,0.20,0.30,0.16,0.37,1.98,1.35,0.00,0.89,0.86,1.03,1.00,2.07,6.08,2.40,0.00,2.42,2.60,2.40,2.38,2.11,14.76,0
'[11:18:32.717 26/09/2023]',0.09,0.00,0.06,0.07,0.06,0.06,0.10,0.46,0.22,0.00,0.22,0.23,0.25,0.21,0.22,2.62,0.21,0.00,0.25,0.20,0.31,0.17,0.37,1.99,1.37,0.00,0.90,0.88,1.00,0.98,2.12,6.29,2.42,0.00,2.43,2.61,2.42,2.40,2.15,14.88,0
'[11:18:32.803 26/09/2023]',0.09,0.00,0.06,0.06,0.06,0.06,0.09,0.49,0.23,0.00,0.22,0.23,0.26,0.21,0.22,2.62,0.20,0.00,0.24,0.19,0.32,0.17,0.37,2.09,1.39,0.00,0.91,0.90,0.98,0.98,2.15,6.56,2.43,0.00,2.44,2.63,2.43,2.42,2.18,15.04,0
'[11:18:32.899 26/09/2023]',0.09,0.00,0.06,0.06,0.06,0.06,0.09,0.46,0.22,0.00,0.23,0.23,0.26,0.21,0.22,2.57,0.21,0.00,0.24,0.19,0.32,0.17,0.37,2.19,1.41,0.00,0.90,0.93,0.98,0.97,2.16,6.83,2.44,0.00,2.45,2.64,2.45,2.44,2.20,15.17,0
'[11:18:32.987 26/09/2023]',0.09,0.00,0.08,0.06,0.06,0.06,0.09,0.44,0.23,0.00,0.25,0.23,0.26,0.21,0.22,2.51,0.20,0.00,0.24,0.19,0.33,0.17,0.35,2.30,1.41,0.00,0.87,0.97,0.97,0.98,2.14,7.05,2.42,0.00,2.42,2.66,2.47,2.46,2.18,15.28,0
'[11:18:33.076 26/09/2023]',0.09,0.00,0.07,0.07,0.07,0.07,0.09,0.43,0.23,0.00,0.25,0.24,0.28,0.23,0.22,2.46,0.20,0.00,0.23,0.19,0.34,0.19,0.33,2.43,1.41,0.00,0.84,0.97,0.97,0.98,2.10,7.25,2.36,0.00,2.35,2.63,2.45,2.44,2.12,15.17,0
'[11:18:33.141 26/09/2023]',0.09,0.00,0.07,0.07,0.07,0.07,0.09,0.41,0.23,0.00,0.25,0.25,0.28,0.23,0.21,2.41,0.20,0.00,0.22,0.19,0.34,0.19,0.32,2.53,1.40,0.00,0.82,0.98,0.95,0.99,2.04,7.38,2.26,0.00,2.25,2.56,2.38,2.39,2.04,14.80,0
'[11:18:33.165 26/09/2023]',0.09,0.00,0.07,0.07,0.07,0.07,0.10,0.46,0.23,0.00,0.25,0.24,0.28,0.23,0.22,2.31,0.21,0.00,0.23,0.19,0.34,0.19,0.32,2.54,1.38,0.00,0.79,0.98,0.95,0.99,1.98,7.46,2.15,0.00,2.14,2.46,2.29,2.31,1.96,14.29,0
'[11:18:33.195 26/09/2023]',0.08,0.00,0.07,0.07,0.07,0.07,0.10,0.44,0.22,0.00,0.25,0.24,0.27,0.22,0.22,2.24,0.21,0.00,0.23,0.20,0.34,0.19,0.30,2.57,1.35,0.00,0.79,0.98,0.93,0.99,1.94,7.54,2.04,0.00,2.04,2.35,2.19,2.20,1.87,13.71,0
'[11:18:33.224 26/09/2023]',0.09,0.00,0.07,0.07,0.06,0.07,0.10,0.45,0.23,0.00,0.26,0.24,0.27,0.23,0.22,2.24,0.21,0.00,0.23,0.22,0.33,0.20,0.28,2.65,1.31,0.00,0.79,0.98,0.91,0.97,1.90,7.60,1.94,0.00,1.93,2.23,2.08,2.10,1.79,13.13,0
'[11:18:33.251 26/09/2023]',0.09,0.00,0.07,0.07,0.07,0.08,0.10,0.45,0.23,0.00,0.26,0.25,0.27,0.23,0.23,2.18,0.21,0.00,0.22,0.22,0.32,0.19,0.29,2.71,1.28,0.00,0.79,0.98,0.90,0.96,1.85,7.58,1.85,0.00,1.85,2.12,1.98,2.00,1.72,12.60,0
'[11:18:33.283 26/09/2023]',0.10,0.00,0.07,0.07,0.07,0.07,0.11,0.45,0.24,0.00,0.27,0.25,0.26,0.23,0.24,2.14,0.21,0.00,0.22,0.21,0.31,0.18,0.28,2.77,1.25,0.00,0.79,0.99,0.88,0.96,1.76,7.55,1.77,0.00,1.76,2.03,1.90,1.92,1.73,12.13,0
'[11:18:33.310 26/09/2023]',0.09,0.00,0.07,0.07,0.07,0.07,0.10,0.48,0.24,0.00,0.27,0.25,0.26,0.23,0.24,2.11,0.23,0.00,0.22,0.22,0.30,0.17,0.27,2.84,1.20,0.00,0.79,0.99,0.85,0.97,1.66,7.49,1.69,0.00,1.69,1.94,1.81,1.84,1.74,11.70,0
'[11:18:33.341 26/09/2023]',0.09,0.00,0.07,0.07,0.06,0.07,0.10,0.48,0.24,0.00,0.27,0.25,0.26,0.22,0.25,2.08,0.23,0.00,0.23,0.21,0.28,0.17,0.27,2.90,1.13,0.00,0.79,0.97,0.83,0.96,1.56,7.56,1.64,0.00,1.65,1.85,1.73,1.76,1.76,11.26,0
'[11:18:33.368 26/09/2023]',0.09,0.00,0.07,0.07,0.06,0.07,0.10,0.49,0.24,0.00,0.28,0.25,0.26,0.22,0.25,2.06,0.25,0.00,0.24,0.21,0.28,0.16,0.26,2.91,1.06,0.00,0.79,0.96,0.82,0.94,1.47,7.87,1.60,0.00,1.60,1.77,1.65,1.69,1.77,10.79,0
'[11:18:33.399 26/09/2023]',0.09,0.00,0.07,0.07,0.06,0.06,0.10,0.48,0.24,0.00,0.28,0.25,0.25,0.22,0.25,1.99,0.25,0.00,0.24,0.21,0.26,0.17,0.26,2.93,1.06,0.00,0.79,0.94,0.80,0.92,1.40,8.16,1.55,0.00,1.55,1.69,1.60,1.63,1.78,10.33,0
'[11:18:33.428 26/09/2023]',0.08,0.00,0.06,0.07,0.06,0.06,0.09,0.49,0.23,0.00,0.28,0.25,0.24,0.22,0.25,1.93,0.26,0.00,0.25,0.22,0.25,0.17,0.26,3.01,1.06,0.00,0.80,0.92,0.79,0.91,1.33,8.48,1.49,0.00,1.49,1.62,1.55,1.57,1.79,9.88,0
'[11:18:33.462 26/09/2023]',0.08,0.00,0.07,0.06,0.06,0.06,0.09,0.50,0.23,0.00,0.28,0.25,0.24,0.21,0.25,1.87,0.27,0.00,0.26,0.22,0.25,0.18,0.26,3.08,1.07,0.00,0.81,0.91,0.76,0.89,1.25,8.77,1.43,0.00,1.42,1.55,1.49,1.52,1.80,9.40,0
'[11:18:33.495 26/09/2023]',0.09,0.00,0.07,0.07,0.06,0.06,0.10,0.53,0.24,0.00,0.29,0.25,0.23,0.21,0.26,1.81,0.28,0.00,0.27,0.23,0.27,0.18,0.25,3.14,1.09,0.00,0.81,0.90,0.74,0.89,1.25,9.05,1.36,0.00,1.36,1.48,1.42,1.45,1.79,8.91,0
'[11:18:33.522 26/09/2023]',0.08,0.00,0.07,0.06,0.06,0.06,0.09,0.54,0.24,0.00,0.29,0.25,0.23,0.21,0.26,1.76,0.29,0.00,0.28,0.23,0.28,0.19,0.23,3.13,1.09,0.00,0.81,0.89,0.74,0.89,1.28,9.32,1.29,0.00,1.28,1.41,1.35,1.39,1.75,8.41,0
'[11:18:33.553 26/09/2023]',0.08,0.00,0.07,0.06,0.06,0.06,0.09,0.57,0.24,0.00,0.29,0.25,0.23,0.21,0.26,1.82,0.29,0.00,0.27,0.23,0.28,0.20,0.23,3.07,1.08,0.00,0.81,0.88,0.75,0.89,1.33,9.55,1.22,0.00,1.21,1.33,1.27,1.32,1.70,7.88,0
'[11:18:33.587 26/09/2023]',0.08,0.00,0.07,0.06,0.05,0.06,0.09,0.56,0.24,0.00,0.29,0.25,0.23,0.20,0.26,1.82,0.28,0.00,0.27,0.23,0.29,0.20,0.22,3.09,1.09,0.00,0.82,0.91,0.75,0.87,1.37,9.64,1.15,0.00,1.13,1.25,1.19,1.24,1.63,7.39,0
'[11:18:33.621 26/09/2023]',0.08,0.00,0.06,0.06,0.06,0.06,0.09,0.55,0.23,0.00,0.30,0.25,0.23,0.20,0.26,1.82,0.28,0.00,0.26,0.23,0.28,0.19,0.22,3.11,1.11,0.00,0.84,0.92,0.77,0.86,1.42,9.75,1.08,0.00,1.05,1.16,1.11,1.17,1.55,6.87,0
'[11:18:33.651 26/09/2023]',0.07,0.00,0.06,0.05,0.06,0.06,0.09,0.56,0.23,0.00,0.30,0.25,0.22,0.19,0.25,1.84,0.28,0.00,0.26,0.23,0.29,0.19,0.23,3.12,1.12,0.00,0.87,0.94,0.81,0.85,1.47,9.86,1.01,0.00,0.98,1.08,1.03,1.09,1.52,6.38,0
'[11:18:33.686 26/09/2023]',0.07,0.00,0.06,0.05,0.06,0.06,0.09,0.56,0.23,0.00,0.30,0.24,0.22,0.19,0.25,1.86,0.28,0.00,0.27,0.23,0.29,0.19,0.23,3.09,1.14,0.00,0.89,0.96,0.86,0.85,1.51,9.98,0.95,0.00,0.92,1.01,0.96,1.03,1.51,5.97,0
'[11:18:33.743 26/09/2023]',0.07,0.00,0.05,0.05,0.05,0.06,0.09,0.59,0.22,0.00,0.30,0.24,0.22,0.19,0.25,1.85,0.29,0.00,0.27,0.25,0.29,0.19,0.23,3.06,1.15,0.00,0.88,0.97,0.91,0.84,1.55,10.14,0.88,0.00,0.86,0.94,0.89,0.96,1.51,5.60,0
'[11:18:33.766 26/09/2023]',0.07,0.00,0.05,0.05,0.05,0.06,0.08,0.61,0.22,0.00,0.30,0.24,0.22,0.19,0.24,1.74,0.31,0.00,0.28,0.26,0.29,0.18,0.23,3.04,1.15,0.00,0.89,1.00,0.94,0.84,1.60,10.21,0.83,0.00,0.81,0.88,0.84,0.94,1.48,5.24,0
'[11:18:33.801 26/09/2023]',0.07,0.00,0.06,0.05,0.05,0.05,0.08,0.61,0.21,0.00,0.30,0.23,0.22,0.18,0.24,1.73,0.31,0.00,0.29,0.27,0.28,0.19,0.24,3.17,1.14,0.00,0.90,1.03,0.96,0.88,1.65,10.19,0.79,0.00,0.81,0.81,0.78,0.92,1.46,4.94,0
'[11:18:33.832 26/09/2023]',0.06,0.00,0.06,0.05,0.05,0.05,0.08,0.59,0.21,0.00,0.30,0.23,0.21,0.18,0.24,1.79,0.33,0.00,0.31,0.28,0.28,0.20,0.25,3.31,1.13,0.00,0.90,1.06,0.98,0.90,1.69,10.08,0.79,0.00,0.82,0.76,0.73,0.89,1.46,4.94,0
'[11:18:33.863 26/09/2023]',0.06,0.00,0.06,0.05,0.05,0.05,0.07,0.59,0.21,0.00,0.30,0.23,0.21,0.18,0.24,1.85,0.34,0.00,0.34,0.30,0.28,0.21,0.27,3.39,1.12,0.00,0.89,1.08,0.99,0.93,1.75,9.93,0.78,0.00,0.82,0.71,0.69,0.86,1.44,4.98,0
'[11:18:33.900 26/09/2023]',0.06,0.00,0.06,0.05,0.06,0.05,0.07,0.61,0.21,0.00,0.30,0.23,0.22,0.18,0.23,1.90,0.35,0.00,0.36,0.32,0.29,0.22,0.28,3.46,1.12,0.00,0.90,1.10,0.99,0.95,1.80,9.81,0.77,0.00,0.82,0.66,0.69,0.82,1.41,5.01,0
'[11:18:33.937 26/09/2023]',0.06,0.00,0.06,0.04,0.05,0.05,0.07,0.60,0.21,0.00,0.30,0.23,0.22,0.18,0.23,1.93,0.36,0.00,0.38,0.32,0.29,0.24,0.30,3.50,1.10,0.00,0.92,1.11,0.99,0.97,1.85,9.75,0.75,0.00,0.81,0.62,0.68,0.79,1.38,4.98,0
'[11:18:33.967 26/09/2023]',0.06,0.00,0.05,0.04,0.05,0.05,0.07,0.58,0.21,0.00,0.30,0.23,0.22,0.18,0.22,1.95,0.37,0.00,0.40,0.34,0.30,0.25,0.33,3.55,1.09,0.00,0.92,1.12,0.98,0.98,1.89,9.66,0.72,0.00,0.80,0.58,0.69,0.77,1.35,4.96,0
'[11:18:33.996 26/09/2023]',0.05,0.00,0.05,0.04,0.05,0.05,0.07,0.57,0.21,0.00,0.31,0.23,0.22,0.18,0.22,1.97,0.38,0.00,0.42,0.35,0.32,0.27,0.35,3.60,1.07,0.00,0.91,1.12,0.97,0.99,1.92,9.56,0.71,0.00,0.80,0.54,0.70,0.74,1.30,4.95,0
'[11:18:34.052 26/09/2023]',0.06,0.00,0.06,0.05,0.05,0.05,0.08,0.57,0.21,0.00,0.31,0.23,0.22,0.18,0.22,2.00,0.39,0.00,0.45,0.37,0.33,0.28,0.38,3.62,1.06,0.00,0.91,1.12,0.96,1.00,1.92,9.45,0.71,0.00,0.79,0.53,0.70,0.71,1.31,4.92,0
'[11:18:34.158 26/09/2023]',0.05,0.00,0.06,0.05,0.04,0.05,0.08,0.58,0.21,0.00,0.31,0.23,0.22,0.19,0.22,2.12,0.40,0.00,0.46,0.38,0.34,0.29,0.39,3.69,1.06,0.00,0.89,1.11,0.95,1.00,1.91,9.38,0.70,0.00,0.77,0.52,0.70,0.69,1.33,4.91,0
